individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04486,2017-10-26,small tree,5.4
NEON.PLA.D16.WREF.04413,2020-10-19,single bole tree,31.2
NEON.PLA.D16.WREF.03721,2024-09-04,small tree,3.6
NEON.PLA.D16.WREF.04990,2017-10-16,small tree,7.4
NEON.PLA.D16.WREF.08300,2024-09-09,single bole tree,11.3
NEON.PLA.D16.WREF.04195,2024-09-16,small tree,6.2
NEON.PLA.D16.WREF.05858,2019-11-20,single bole tree,67.7
NEON.PLA.D16.WREF.04434,2022-09-26,single bole tree,23
NEON.PLA.D16.WREF.09800,2019-12-05,small tree,1.5
NEON.PLA.D16.WREF.08000,2024-08-21,single bole tree,10.6
NEON.PLA.D16.WREF.03663,2020-10-21,single bole tree,22.3
NEON.PLA.D16.WREF.02037,2017-11-01,single bole tree,16.1
NEON.PLA.D16.WREF.02130,2017-10-26,small tree,1.7
NEON.PLA.D16.WREF.04857,2017-10-16,single bole tree,60.4
NEON.PLA.D16.WREF.04515,2023-10-25,small tree,9.3
NEON.PLA.D16.WREF.04422,2020-10-20,single bole tree,20
NEON.PLA.D16.WREF.03721,2020-09-03,small tree,3.5
NEON.PLA.D16.WREF.05781,2019-11-18,single bole tree,28.9
NEON.PLA.D16.WREF.03640,2022-09-28,single bole tree,47.8
NEON.PLA.D16.WREF.03456,2020-09-03,single bole tree,28.6
NEON.PLA.D16.WREF.07678,2019-11-20,single bole tree,116.9
NEON.PLA.D16.WREF.05737,2023-09-18,single bole tree,39.4
NEON.PLA.D16.WREF.04675,2024-09-11,single bole tree,40.7
NEON.PLA.D16.WREF.04983,2022-09-21,single bole tree,89.6
NEON.PLA.D16.WREF.03232,2021-10-19,single bole tree,43.9
NEON.PLA.D16.WREF.04415,2019-11-18,single bole tree,12.5
NEON.PLA.D16.WREF.04446,2023-09-18,small tree,5.9
NEON.PLA.D16.WREF.07510,2019-12-04,single bole tree,10.5
NEON.PLA.D16.WREF.04188,2024-09-16,single bole tree,78.3
NEON.PLA.D16.WREF.04102,2020-10-01,small tree,5.1
NEON.PLA.D16.WREF.08665,2022-11-08,small tree,1.3
NEON.PLA.D16.WREF.07611,2019-11-25,single shrub,1.5
NEON.PLA.D16.WREF.02021,2017-11-01,single bole tree,45.2
NEON.PLA.D16.WREF.04479,2022-09-27,small tree,1.4
NEON.PLA.D16.WREF.02029,2017-11-01,single bole tree,45.8
NEON.PLA.D16.WREF.07670,2022-10-24,single bole tree,83.7
NEON.PLA.D16.WREF.04505,2024-09-16,single bole tree,44.9
NEON.PLA.D16.WREF.08297,2022-10-13,single bole tree,11.5
NEON.PLA.D16.WREF.03718,2020-09-03,small tree,2.6
NEON.PLA.D16.WREF.05085,2019-11-13,single bole tree,11
NEON.PLA.D16.WREF.04087,2020-09-30,single bole tree,58.3
NEON.PLA.D16.WREF.08631,2022-11-09,small tree,3.3
NEON.PLA.D16.WREF.09127,2019-12-04,single bole tree,11.5
NEON.PLA.D16.WREF.05838,2019-11-26,small tree,1.5
NEON.PLA.D16.WREF.05862,2022-10-26,single bole tree,30.4
NEON.PLA.D16.WREF.04691,2023-10-24,small tree,5.4
NEON.PLA.D16.WREF.05082,2022-10-27,single bole tree,11.6
NEON.PLA.D16.WREF.05720,2024-08-20,single bole tree,42.9
NEON.PLA.D16.WREF.07891,2019-11-25,single bole tree,21.1
NEON.PLA.D16.WREF.04440,2020-10-20,single bole tree,14.4
NEON.PLA.D16.WREF.03441,2019-12-03,small tree,5.4
NEON.PLA.D16.WREF.04255,2017-10-24,small tree,4.2
NEON.PLA.D16.WREF.05831,2019-11-27,small tree,5.6
NEON.PLA.D16.WREF.04409,2020-10-19,single bole tree,38.6
NEON.PLA.D16.WREF.04165,2021-04-06,small tree,8
NEON.PLA.D16.WREF.04692,2024-09-11,small tree,1.2
NEON.PLA.D16.WREF.04751,2021-04-02,single bole tree,36
NEON.PLA.D16.WREF.02241,2024-09-18,single bole tree,65.3
NEON.PLA.D16.WREF.03449,2022-09-28,single bole tree,11.5
NEON.PLA.D16.WREF.04640,2017-10-23,single bole tree,20.8
NEON.PLA.D16.WREF.04118,2020-10-01,small tree,5.9
NEON.PLA.D16.WREF.03449,2024-09-04,single bole tree,11.9
NEON.PLA.D16.WREF.04655,2021-10-25,single bole tree,34.1
NEON.PLA.D16.WREF.08744,2022-10-10,single bole tree,22.3
NEON.PLA.D16.WREF.08741,2022-10-10,single bole tree,10.6
NEON.PLA.D16.WREF.04487,2020-10-19,small tree,2.5
NEON.PLA.D16.WREF.04456,2021-10-14,single bole tree,57.5
NEON.PLA.D16.WREF.02364,2020-10-22,single bole tree,25.6
NEON.PLA.D16.WREF.04159,2021-11-03,single bole tree,82.4
NEON.PLA.D16.WREF.07746,2019-11-25,single bole tree,37.3
NEON.PLA.D16.WREF.02107,2021-03-01,small tree,4.5
NEON.PLA.D16.WREF.07602,2022-10-26,single bole tree,33.8
NEON.PLA.D16.WREF.10000,2022-10-27,single bole tree,89.6
NEON.PLA.D16.WREF.04528,2021-10-27,small tree,2.6
NEON.PLA.D16.WREF.07203,2019-11-25,small tree,2.6
NEON.PLA.D16.WREF.03654,2022-09-28,single bole tree,24.5
NEON.PLA.D16.WREF.04977,2017-10-16,small tree,7.9
NEON.PLA.D16.WREF.03636,2017-11-01,single bole tree,11.8
NEON.PLA.D16.WREF.04909,2021-11-03,single bole tree,99.9
NEON.PLA.D16.WREF.04474,2024-08-19,single bole tree,14.8
NEON.PLA.D16.WREF.07506,2023-05-16,single bole tree,14.3
NEON.PLA.D16.WREF.05207,2021-04-05,single bole tree,17.8
NEON.PLA.D16.WREF.03452,2023-10-17,single bole tree,20.5
NEON.PLA.D16.WREF.07743,2022-10-26,single bole tree,15.9
NEON.PLA.D16.WREF.03451,2024-09-09,single bole tree,29.5
NEON.PLA.D16.WREF.03653,2022-09-28,single bole tree,21.1
NEON.PLA.D16.WREF.05849,2022-10-19,single bole tree,15.5
NEON.PLA.D16.WREF.08700,2022-10-19,single bole tree,16.1
NEON.PLA.D16.WREF.04401,2017-10-26,single bole tree,19.3
NEON.PLA.D16.WREF.05771,2022-09-22,single bole tree,33.5
NEON.PLA.D16.WREF.02246A,2020-11-04,multi-bole tree,36.9
NEON.PLA.D16.WREF.02442,2021-03-01,small tree,9.9
NEON.PLA.D16.WREF.05298,2021-10-21,single bole tree,68.6
NEON.PLA.D16.WREF.04684,2019-12-09,small tree,1.5
NEON.PLA.D16.WREF.03717,2020-09-03,single bole tree,17
NEON.PLA.D16.WREF.03423,2022-09-28,single bole tree,16.1
NEON.PLA.D16.WREF.09776,2019-12-05,small tree,1.8
NEON.PLA.D16.WREF.08606,2019-11-20,single bole tree,12.9
NEON.PLA.D16.WREF.04436,2021-10-14,single bole tree,17
NEON.PLA.D16.WREF.04284,2020-10-14,single bole tree,14.7
