individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04804,2021-01-20,single bole tree,107.1
NEON.PLA.D16.WREF.04087,2023-10-30,single bole tree,60.4
NEON.PLA.D16.WREF.05254,2017-10-30,single bole tree,12.6
NEON.PLA.D16.WREF.03642,2023-10-17,small tree,8.3
NEON.PLA.D16.WREF.02243,2017-10-30,single bole tree,15.8
NEON.PLA.D16.WREF.09767,2019-12-05,single shrub,1.1
NEON.PLA.D16.WREF.09181,2019-12-03,small tree,1.5
NEON.PLA.D16.WREF.05360,2021-04-05,single bole tree,10.1
NEON.PLA.D16.WREF.03257,2020-10-21,small tree,1.6
NEON.PLA.D16.WREF.04310,2019-12-09,small tree,3.3
NEON.PLA.D16.WREF.05202,2017-10-31,small tree,5.8
NEON.PLA.D16.WREF.03707,2021-10-18,single bole tree,14.8
NEON.PLA.D16.WREF.05746,2023-09-19,single bole tree,21.8
NEON.PLA.D16.WREF.08609,2022-11-08,single bole tree,16.5
NEON.PLA.D16.WREF.02101,2017-10-23,single bole tree,80.8
NEON.PLA.D16.WREF.05342,2021-04-05,single bole tree,40.4
NEON.PLA.D16.WREF.04418,2021-10-14,single bole tree,41.8
NEON.PLA.D16.WREF.04631,2020-10-29,single bole tree,16.3
NEON.PLA.D16.WREF.04683,2022-10-13,single bole tree,18.1
NEON.PLA.D16.WREF.04651,2020-11-03,multi-bole tree,14
NEON.PLA.D16.WREF.04668E,2020-10-29,multi-bole tree,3.3
NEON.PLA.D16.WREF.04320,2020-10-29,single shrub,1.2
NEON.PLA.D16.WREF.05780,2022-09-22,small tree,4.8
NEON.PLA.D16.WREF.04930,2017-10-17,single bole tree,45.8
NEON.PLA.D16.WREF.04144,2017-10-24,small tree,2.6
NEON.PLA.D16.WREF.07112,2022-10-10,single bole tree,19.6
NEON.PLA.D16.WREF.07111,2019-11-14,single bole tree,15.5
NEON.PLA.D16.WREF.03211,2019-12-04,multi-bole tree,18.4
NEON.PLA.D16.WREF.02374,2017-11-01,single bole tree,25.4
NEON.PLA.D16.WREF.04085,2020-10-05,single bole tree,21.3
NEON.PLA.D16.WREF.05145,2021-01-28,single bole tree,66.8
NEON.PLA.D16.WREF.07217,2019-11-13,single bole tree,11.1
NEON.PLA.D16.WREF.04992,2021-04-06,single bole tree,13.6
NEON.PLA.D16.WREF.04227,2020-09-30,small tree,4.6
NEON.PLA.D16.WREF.04114,2017-10-24,single bole tree,10.5
NEON.PLA.D16.WREF.02176,2017-10-25,multi-bole tree,7
NEON.PLA.D16.WREF.05745,2021-10-14,single bole tree,14
NEON.PLA.D16.WREF.07602,2019-11-25,single bole tree,33
NEON.PLA.D16.WREF.03674,2019-12-04,single bole tree,23.6
NEON.PLA.D16.WREF.04223,2017-10-24,small tree,1.6
NEON.PLA.D16.WREF.05512,2021-03-01,single bole tree,12.8
NEON.PLA.D16.WREF.04623,2022-10-17,single bole tree,15.9
NEON.PLA.D16.WREF.07486,2019-12-05,single bole tree,49.5
NEON.PLA.D16.WREF.04151,2021-04-06,small tree,6
NEON.PLA.D16.WREF.04933,2023-10-30,single bole tree,73.7
NEON.PLA.D16.WREF.04804,2022-09-21,single bole tree,107.3
NEON.PLA.D16.WREF.04090,2020-09-30,single bole tree,17.5
NEON.PLA.D16.WREF.02365,2020-10-22,single bole tree,20.5
NEON.PLA.D16.WREF.07827,2019-12-03,small tree,2.4
NEON.PLA.D16.WREF.05526,2017-10-25,single bole tree,21.9
NEON.PLA.D16.WREF.09819,2019-12-03,single bole tree,77.2
NEON.PLA.D16.WREF.09765,2019-12-05,single shrub,3.2
NEON.PLA.D16.WREF.04522,2020-10-28,small tree,8.5
NEON.PLA.D16.WREF.04640,2023-10-24,single bole tree,20.3
NEON.PLA.D16.WREF.04024,2021-03-01,small tree,2.2
NEON.PLA.D16.WREF.07489,2019-12-05,small tree,1.4
NEON.PLA.D16.WREF.04486,2024-08-20,small tree,3.4
NEON.PLA.D16.WREF.04944,2017-10-16,single bole tree,10.2
NEON.PLA.D16.WREF.07235,2019-11-13,single bole tree,22.6
NEON.PLA.D16.WREF.02332,2021-04-05,single bole tree,16.3
NEON.PLA.D16.WREF.05143,2017-10-27,single bole tree,46
NEON.PLA.D16.WREF.09186,2019-12-03,small tree,9.3
NEON.PLA.D16.WREF.03409,2017-10-31,single bole tree,23.9
NEON.PLA.D16.WREF.04405,2021-10-14,single bole tree,33.7
NEON.PLA.D16.WREF.08742,2019-11-14,single bole tree,27
NEON.PLA.D16.WREF.05362,2017-10-31,single bole tree,14.8
NEON.PLA.D16.WREF.08785,2019-11-18,single bole tree,79.8
NEON.PLA.D16.WREF.03670,2019-12-04,single bole tree,10
NEON.PLA.D16.WREF.04543,2021-03-23,single bole tree,29.5
NEON.PLA.D16.WREF.02358,2020-10-22,single bole tree,32.8
NEON.PLA.D16.WREF.03648,2019-12-03,small tree,2.7
NEON.PLA.D16.WREF.03646,2024-09-04,small tree,3.7
NEON.PLA.D16.WREF.05734,2022-09-22,small tree,3.2
NEON.PLA.D16.WREF.05070,2019-11-14,small tree,2.5
NEON.PLA.D16.WREF.05144,2017-10-27,single bole tree,63.2
NEON.PLA.D16.WREF.07703,2019-11-27,single bole tree,39
NEON.PLA.D16.WREF.05344,2017-10-31,single bole tree,21.6
NEON.PLA.D16.WREF.04518,2017-10-18,single bole tree,63.2
NEON.PLA.D16.WREF.05799,2021-03-01,single bole tree,19.1
NEON.PLA.D16.WREF.05717,2023-09-19,single bole tree,13.3
NEON.PLA.D16.WREF.03229,2020-10-21,single bole tree,14
NEON.PLA.D16.WREF.03680,2017-10-25,single bole tree,15.8
NEON.PLA.D16.WREF.04076,2017-10-24,single bole tree,46.8
NEON.PLA.D16.WREF.04901,2021-11-03,single bole tree,60.8
