individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04462,2021-10-14,small tree,4.2
NEON.PLA.D16.WREF.05392,2017-10-31,single bole tree,27.6
NEON.PLA.D16.WREF.07381,2020-10-07,small tree,4.5
NEON.PLA.D16.WREF.04140,2020-09-30,small tree,3
NEON.PLA.D16.WREF.07485,2019-12-05,small tree,3.2
NEON.PLA.D16.WREF.04607,2020-11-03,multi-bole tree,13.5
NEON.PLA.D16.WREF.04407,2017-10-26,single bole tree,17.4
NEON.PLA.D16.WREF.04816,2017-10-18,small tree,2.7
NEON.PLA.D16.WREF.04645,2019-12-09,single bole tree,21.1
NEON.PLA.D16.WREF.05745,2023-09-19,single bole tree,14.1
NEON.PLA.D16.WREF.05577,2020-09-30,small tree,3.8
NEON.PLA.D16.WREF.05239,2017-10-31,single bole tree,35.2
NEON.PLA.D16.WREF.04494,2021-03-23,single bole tree,46.1
NEON.PLA.D16.WREF.04929,2017-10-18,small tree,4
NEON.PLA.D16.WREF.02058,2017-11-01,small tree,6.1
NEON.PLA.D16.WREF.07729,2019-11-26,single bole tree,73.7
NEON.PLA.D16.WREF.04480,2019-11-19,small tree,7.5
NEON.PLA.D16.WREF.04646,2023-10-24,single bole tree,37.3
NEON.PLA.D16.WREF.08374,2022-10-04,small tree,1.6
NEON.PLA.D16.WREF.04268,2020-09-30,small tree,1.6
NEON.PLA.D16.WREF.04649,2017-10-23,single bole tree,38.3
NEON.PLA.D16.WREF.04407,2021-10-14,single bole tree,17.5
NEON.PLA.D16.WREF.04883,2021-04-06,small tree,5
NEON.PLA.D16.WREF.03225,2023-10-04,single bole tree,14.7
NEON.PLA.D16.WREF.04531,2024-09-16,small tree,4
NEON.PLA.D16.WREF.04177,2021-04-06,small tree,3.4
NEON.PLA.D16.WREF.04193,2021-11-23,single bole tree,66.2
NEON.PLA.D16.WREF.07515,2019-12-04,single bole tree,44.7
NEON.PLA.D16.WREF.04768,2020-10-14,small tree,4.1
NEON.PLA.D16.WREF.03468,2019-12-03,single bole tree,35.2
NEON.PLA.D16.WREF.09773,2019-12-05,small tree,1.2
NEON.PLA.D16.WREF.05286,2023-10-30,single bole tree,57.3
NEON.PLA.D16.WREF.05748,2024-08-19,single bole tree,37.4
NEON.PLA.D16.WREF.04421,2023-09-19,single bole tree,10.9
NEON.PLA.D16.WREF.04676,2017-10-25,small tree,4.9
NEON.PLA.D16.WREF.04542,2017-10-17,single bole tree,39.5
NEON.PLA.D16.WREF.03793,2020-09-03,single bole tree,14.3
NEON.PLA.D16.WREF.07249,2019-11-13,single bole tree,13.1
NEON.PLA.D16.WREF.03219,2022-10-13,single bole tree,23.5
NEON.PLA.D16.WREF.05393,2017-10-31,single bole tree,16.5
NEON.PLA.D16.WREF.02175,2021-03-01,small tree,7
NEON.PLA.D16.WREF.04200,2017-10-24,single bole tree,16
NEON.PLA.D16.WREF.07841,2019-12-02,small tree,1.2
NEON.PLA.D16.WREF.04685,2022-10-13,small tree,7
NEON.PLA.D16.WREF.04185,2021-10-27,single bole tree,21.6
NEON.PLA.D16.WREF.05371,2021-04-05,single bole tree,11.3
NEON.PLA.D16.WREF.07526,2019-12-04,small tree,3.7
NEON.PLA.D16.WREF.03634,2023-10-17,single bole tree,12.5
NEON.PLA.D16.WREF.09974,2020-09-03,small tree,6
NEON.PLA.D16.WREF.07725,2019-11-26,single bole tree,16.1
NEON.PLA.D16.WREF.02005,2017-11-01,small tree,4.6
NEON.PLA.D16.WREF.03673,2024-08-21,single bole tree,53.2
NEON.PLA.D16.WREF.05354,2021-04-05,single bole tree,19.9
NEON.PLA.D16.WREF.08695,2019-11-19,single bole tree,10.3
NEON.PLA.D16.WREF.03225,2024-08-21,single bole tree,14.7
NEON.PLA.D16.WREF.08757,2019-11-14,small tree,2
NEON.PLA.D16.WREF.04620,2017-10-23,single bole tree,43.4
NEON.PLA.D16.WREF.04637,2024-09-09,multi-bole tree,18.5
