individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04863,2017-10-16,multi-bole tree,19.5
NEON.PLA.D16.WREF.03259,2022-10-13,small tree,1.5
NEON.PLA.D16.WREF.08679,2019-11-19,single bole tree,33.1
NEON.PLA.D16.WREF.04637A,2024-09-09,multi-bole tree,14.8
NEON.PLA.D16.WREF.05776,2021-10-14,small tree,9.8
NEON.PLA.D16.WREF.05324,2022-09-28,small tree,5.4
NEON.PLA.D16.WREF.05753,2020-10-19,small tree,6.5
NEON.PLA.D16.WREF.04622,2023-10-24,single bole tree,15.6
NEON.PLA.D16.WREF.09765,2019-12-05,single shrub,3.6
NEON.PLA.D16.WREF.02280,2017-10-31,single bole tree,14.6
NEON.PLA.D16.WREF.02342,2021-04-05,single bole tree,15
NEON.PLA.D16.WREF.04419,2019-11-19,single bole tree,58.4
NEON.PLA.D16.WREF.08892,2023-10-24,small tree,3.8
NEON.PLA.D16.WREF.04190,2017-10-18,single bole tree,92.8
NEON.PLA.D16.WREF.02403,2021-03-01,small tree,7.3
NEON.PLA.D16.WREF.05718,2024-08-20,single bole tree,34.2
NEON.PLA.D16.WREF.04147,2017-10-20,single bole tree,66.5
NEON.PLA.D16.WREF.02290,2017-10-31,small tree,2.2
NEON.PLA.D16.WREF.07623,2019-11-25,small tree,3.9
NEON.PLA.D16.WREF.04428,2017-10-26,single bole tree,45.3
NEON.PLA.D16.WREF.04601,2017-10-23,single bole tree,66.9
NEON.PLA.D16.WREF.04412,2024-08-19,single bole tree,19.4
NEON.PLA.D16.WREF.05331,2019-12-03,single bole tree,39.2
NEON.PLA.D16.WREF.07474,2019-12-05,multi-bole tree,13.7
NEON.PLA.D16.WREF.05524,2021-03-01,small tree,1.4
NEON.PLA.D16.WREF.05716,2022-09-22,single bole tree,20.4
NEON.PLA.D16.WREF.09766,2019-12-05,single shrub,2.2
NEON.PLA.D16.WREF.05723,2023-09-18,single bole tree,21.5
NEON.PLA.D16.WREF.04484,2022-09-27,small tree,6
NEON.PLA.D16.WREF.04403,2022-09-22,single bole tree,96.5
NEON.PLA.D16.WREF.03289,2022-10-25,single bole tree,105.2
NEON.PLA.D16.WREF.04456,2019-11-18,single bole tree,56.7
NEON.PLA.D16.WREF.07299,2022-10-27,small tree,1.7
NEON.PLA.D16.WREF.02341,2021-04-05,single bole tree,25.3
NEON.PLA.D16.WREF.04623,2017-10-23,single bole tree,14.1
NEON.PLA.D16.WREF.02439,2021-03-01,small tree,5.9
NEON.PLA.D16.WREF.04627,2017-10-23,single bole tree,15.9
NEON.PLA.D16.WREF.04644,2017-10-23,single bole tree,14.5
NEON.PLA.D16.WREF.05724,2021-10-14,single bole tree,71.9
NEON.PLA.D16.WREF.02017,2017-11-01,small tree,6.2
NEON.PLA.D16.WREF.05761,2021-10-14,single bole tree,26.6
NEON.PLA.D16.WREF.04406,2022-09-22,single bole tree,32.2
NEON.PLA.D16.WREF.03422,2021-04-07,small tree,3
NEON.PLA.D16.WREF.08895,2023-05-16,small tree,3.4
NEON.PLA.D16.WREF.03233,2022-10-13,single bole tree,53.1
NEON.PLA.D16.WREF.09934,2019-12-05,small tree,2.9
NEON.PLA.D16.WREF.07516,2023-05-16,single bole tree,15.2
NEON.PLA.D16.WREF.02104,2017-10-23,small tree,1.5
NEON.PLA.D16.WREF.04625,2023-10-24,single bole tree,12.2
NEON.PLA.D16.WREF.04464,2024-08-19,single bole tree,44
NEON.PLA.D16.WREF.04550,2021-03-23,single bole tree,51
NEON.PLA.D16.WREF.07704,2019-11-27,single bole tree,46.5
NEON.PLA.D16.WREF.04310,2021-10-25,small tree,9.3
NEON.PLA.D16.WREF.07245,2022-10-27,single bole tree,22.4
NEON.PLA.D16.WREF.04184,2022-10-18,single bole tree,88.6
NEON.PLA.D16.WREF.04533,2023-10-25,small tree,5.4
NEON.PLA.D16.WREF.05457,2022-09-21,single bole tree,68.1
NEON.PLA.D16.WREF.05239,2021-04-05,single bole tree,35.3
NEON.PLA.D16.WREF.04604,2020-11-03,small tree,6
NEON.PLA.D16.WREF.07123,2019-11-13,small tree,2
NEON.PLA.D16.WREF.08690,2019-11-19,single bole tree,25.9
NEON.PLA.D16.WREF.03980,2022-09-28,small tree,8.1
NEON.PLA.D16.WREF.08900,2022-11-14,single bole tree,22.1
NEON.PLA.D16.WREF.04240,2017-10-24,small tree,1.5
NEON.PLA.D16.WREF.07531,2019-12-03,small tree,2.8
NEON.PLA.D16.WREF.02202,2021-03-01,single bole tree,19.9
NEON.PLA.D16.WREF.08691,2019-11-19,single bole tree,14.2
NEON.PLA.D16.WREF.04412,2017-10-26,single bole tree,18.2
NEON.PLA.D16.WREF.08690,2022-10-19,single bole tree,26.4
NEON.PLA.D16.WREF.04479,2022-09-27,small tree,7.4
NEON.PLA.D16.WREF.04144,2020-09-30,small tree,2.8
NEON.PLA.D16.WREF.08300,2021-10-25,small tree,9.9
NEON.PLA.D16.WREF.03655,2024-09-04,single bole tree,22.1
NEON.PLA.D16.WREF.03450,2017-11-01,single bole tree,21.5
NEON.PLA.D16.WREF.03678,2020-10-21,single bole tree,32.9
NEON.PLA.D16.WREF.04126,2021-11-03,single bole tree,72.3
NEON.PLA.D16.WREF.03793,2021-10-18,single bole tree,14.3
NEON.PLA.D16.WREF.03228,2023-10-04,single bole tree,50.6
NEON.PLA.D16.WREF.03437,2022-09-28,small tree,4.9
NEON.PLA.D16.WREF.04463,2017-10-26,small tree,9.8
NEON.PLA.D16.WREF.05368,2021-04-05,single bole tree,21.4
NEON.PLA.D16.WREF.05249,2017-10-30,single bole tree,32.2
NEON.PLA.D16.WREF.04433,2021-10-14,single bole tree,39.9
NEON.PLA.D16.WREF.02214,2021-03-01,single bole tree,25.7
NEON.PLA.D16.WREF.05108,2021-03-30,small tree,4.8
NEON.PLA.D16.WREF.05763,2017-10-26,single bole tree,46.6
NEON.PLA.D16.WREF.05249,2021-03-30,single bole tree,32.2
NEON.PLA.D16.WREF.04627,2024-09-09,single bole tree,18.1
NEON.PLA.D16.WREF.04161,2021-04-02,single bole tree,19.3
NEON.PLA.D16.WREF.05785,2021-03-01,single bole tree,13.8
NEON.PLA.D16.WREF.04540,2022-09-21,single bole tree,58.7
NEON.PLA.D16.WREF.03435,2024-09-04,single bole tree,30.1
NEON.PLA.D16.WREF.04697,2019-12-05,single bole tree,16.7
NEON.PLA.D16.WREF.02189,2017-10-25,single bole tree,11.6
NEON.PLA.D16.WREF.07617,2019-11-25,single shrub,1.1
NEON.PLA.D16.WREF.05220,2017-10-31,small tree,7.1
NEON.PLA.D16.WREF.03631,2022-09-28,single bole tree,26.6
NEON.PLA.D16.WREF.03257,2017-10-25,small tree,1
NEON.PLA.D16.WREF.05725,2024-08-19,small tree,2.2
NEON.PLA.D16.WREF.05080,2022-10-27,single bole tree,14.2
