individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.05329,2024-09-09,single bole tree,28.2
NEON.PLA.D16.WREF.05109,2017-10-23,small tree,2
NEON.PLA.D16.WREF.04184,2021-11-23,single bole tree,88.7
NEON.PLA.D16.WREF.04619,2022-10-13,single bole tree,11.8
NEON.PLA.D16.WREF.04641,2024-09-09,single bole tree,31.1
NEON.PLA.D16.WREF.05593,2020-09-30,small tree,2.3
NEON.PLA.D16.WREF.05057,2019-11-14,single bole tree,13.3
NEON.PLA.D16.WREF.03706,2024-09-04,single bole tree,37.8
NEON.PLA.D16.WREF.05288,2021-04-05,single bole tree,13.7
NEON.PLA.D16.WREF.09151A,2022-11-14,multi-bole tree,6.5
NEON.PLA.D16.WREF.03669,2024-08-21,multi-bole tree,53.2
NEON.PLA.D16.WREF.04506,2020-10-28,single bole tree,107.2
NEON.PLA.D16.WREF.04439,2023-09-18,single bole tree,27.5
NEON.PLA.D16.WREF.03704,2024-09-04,single bole tree,16.9
NEON.PLA.D16.WREF.04262,2017-10-24,small tree,8.2
NEON.PLA.D16.WREF.04618,2024-09-09,single bole tree,14.5
NEON.PLA.D16.WREF.05796,2017-10-25,single bole tree,16.7
NEON.PLA.D16.WREF.07727,2019-11-26,single bole tree,75.7
NEON.PLA.D16.WREF.04707,2017-10-24,small tree,2.6
NEON.PLA.D16.WREF.03206,2021-10-21,single bole tree,22.5
NEON.PLA.D16.WREF.07297,2019-11-13,small tree,6.3
NEON.PLA.D16.WREF.05223,2021-04-05,small tree,5.4
NEON.PLA.D16.WREF.04625,2021-10-25,single bole tree,12.2
NEON.PLA.D16.WREF.05359,2017-10-31,single bole tree,24.9
NEON.PLA.D16.WREF.02339,2017-10-31,single bole tree,36.9
NEON.PLA.D16.WREF.04473,2022-09-27,single bole tree,43.9
NEON.PLA.D16.WREF.05170,2017-10-27,small tree,1.2
NEON.PLA.D16.WREF.07222,2022-10-27,single bole tree,12
NEON.PLA.D16.WREF.04267,2020-09-30,single bole tree,11.4
NEON.PLA.D16.WREF.07104,2019-11-14,single bole tree,13.6
NEON.PLA.D16.WREF.07763,2022-10-27,small tree,3.7
NEON.PLA.D16.WREF.05203,2017-10-31,small tree,5.6
NEON.PLA.D16.WREF.04513,2017-10-18,small tree,5.3
NEON.PLA.D16.WREF.05112,2017-10-23,small tree,5.6
NEON.PLA.D16.WREF.04246,2017-10-24,small tree,4.5
NEON.PLA.D16.WREF.05730,2022-09-26,small tree,1.2
