individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.02038A,2020-10-22,multi-bole tree,24.8
NEON.PLA.D16.WREF.07254,2022-10-27,single bole tree,11.3
NEON.PLA.D16.WREF.02320,2021-04-05,single bole tree,15.7
NEON.PLA.D16.WREF.04739,2021-04-02,single bole tree,43.8
NEON.PLA.D16.WREF.07256,2022-10-27,single bole tree,13.8
NEON.PLA.D16.WREF.05764,2021-10-14,small tree,6
NEON.PLA.D16.WREF.05675,2023-05-16,single bole tree,10
NEON.PLA.D16.WREF.08703,2022-10-19,single bole tree,14.5
NEON.PLA.D16.WREF.04435,2021-10-14,single bole tree,35.7
NEON.PLA.D16.WREF.04521,2023-10-25,small tree,1.1
NEON.PLA.D16.WREF.07224,2019-11-13,single bole tree,10
NEON.PLA.D16.WREF.03465,2024-09-09,single bole tree,10.7
NEON.PLA.D16.WREF.07658,2019-11-20,single bole tree,11.3
NEON.PLA.D16.WREF.04551,2017-10-17,single bole tree,54.8
NEON.PLA.D16.WREF.05507,2017-10-25,multi-bole tree,15.2
NEON.PLA.D16.WREF.04806,2017-10-18,single bole tree,86.7
NEON.PLA.D16.WREF.05503,2017-10-25,single bole tree,16
NEON.PLA.D16.WREF.04294,2017-10-20,small tree,8.8
NEON.PLA.D16.WREF.05502,2021-03-01,single bole tree,19.2
NEON.PLA.D16.WREF.02460,2017-10-27,single bole tree,40.1
NEON.PLA.D16.WREF.02226,2017-10-30,multi-bole tree,16.2
NEON.PLA.D16.WREF.03217A,2017-10-25,multi-bole tree,7.3
NEON.PLA.D16.WREF.05668A,2019-12-04,multi-bole tree,18.5
NEON.PLA.D16.WREF.05510,2017-10-25,single bole tree,19.5
NEON.PLA.D16.WREF.09134,2022-11-14,single bole tree,20.3
NEON.PLA.D16.WREF.04256,2017-10-24,small tree,2.8
NEON.PLA.D16.WREF.05049,2019-11-14,single bole tree,16.1
NEON.PLA.D16.WREF.04685,2019-12-09,small tree,7.3
NEON.PLA.D16.WREF.07763,2019-11-12,small tree,3.5
NEON.PLA.D16.WREF.03632,2024-09-04,single bole tree,22.9
NEON.PLA.D16.WREF.05498,2021-03-30,small tree,2.1
NEON.PLA.D16.WREF.05260,2017-10-30,single bole tree,20.5
NEON.PLA.D16.WREF.08370,2024-08-21,single bole tree,10.4
NEON.PLA.D16.WREF.04438,2024-08-20,single bole tree,52.9
NEON.PLA.D16.WREF.03279,2020-10-14,single bole tree,15.5
NEON.PLA.D16.WREF.03672,2020-10-21,single bole tree,18.1
NEON.PLA.D16.WREF.04160,2021-04-02,single bole tree,19.4
NEON.PLA.D16.WREF.05783,2017-10-25,single bole tree,10.1
NEON.PLA.D16.WREF.04622,2024-09-09,single bole tree,16
NEON.PLA.D16.WREF.04197,2022-10-18,small tree,2.3
NEON.PLA.D16.WREF.04183,2022-10-18,single bole tree,46.8
NEON.PLA.D16.WREF.05779,2020-10-07,small tree,1.1
NEON.PLA.D16.WREF.05457,2017-10-31,single bole tree,66.1
NEON.PLA.D16.WREF.04851,2022-09-21,single bole tree,79.3
NEON.PLA.D16.WREF.07607,2019-11-25,single bole tree,28.4
NEON.PLA.D16.WREF.09150,2019-12-04,single bole tree,43.1
NEON.PLA.D16.WREF.04339,2020-10-29,small tree,5.7
NEON.PLA.D16.WREF.04075,2017-10-24,single bole tree,44.2
NEON.PLA.D16.WREF.04412,2023-09-18,single bole tree,19.3
NEON.PLA.D16.WREF.07641,2019-11-20,small tree,2.6
NEON.PLA.D16.WREF.07624,2019-11-25,small tree,3
NEON.PLA.D16.WREF.05219,2021-04-05,small tree,6
NEON.PLA.D16.WREF.04339,2023-10-24,small tree,6.6
NEON.PLA.D16.WREF.04519,2024-09-16,small tree,1.2
NEON.PLA.D16.WREF.04507,2022-10-18,single bole tree,67.6
NEON.PLA.D16.WREF.02433,2021-03-01,small tree,2.8
NEON.PLA.D16.WREF.05476,2021-04-05,small tree,2.8
NEON.PLA.D16.WREF.02248,2017-10-30,single bole tree,25.8
NEON.PLA.D16.WREF.04410,2024-08-19,single bole tree,20.5
NEON.PLA.D16.WREF.04424,2020-10-20,multi-bole tree,48.7
NEON.PLA.D16.WREF.02035,2017-11-01,single bole tree,19.7
NEON.PLA.D16.WREF.04638,2019-12-09,single bole tree,33.8
NEON.PLA.D16.WREF.04182,2024-09-16,single bole tree,10.1
NEON.PLA.D16.WREF.03466,2023-10-17,single bole tree,33.6
NEON.PLA.D16.WREF.04945,2017-10-16,single bole tree,22.7
NEON.PLA.D16.WREF.03646,2022-09-28,small tree,3.7
NEON.PLA.D16.WREF.05735,2019-11-18,small tree,5.2
NEON.PLA.D16.WREF.04694,2020-11-02,small tree,4
NEON.PLA.D16.WREF.05496,2021-04-05,small tree,5.2
NEON.PLA.D16.WREF.03447,2021-10-18,single bole tree,80.2
NEON.PLA.D16.WREF.04881,2017-10-16,small tree,2.8
NEON.PLA.D16.WREF.05262,2017-10-30,single bole tree,59.1
NEON.PLA.D16.WREF.03217,2019-12-04,multi-bole tree,10.9
NEON.PLA.D16.WREF.03675,2024-08-21,single bole tree,21.5
NEON.PLA.D16.WREF.03668,2023-10-04,single bole tree,77.2
NEON.PLA.D16.WREF.04739,2017-10-20,single bole tree,43.1
NEON.PLA.D16.WREF.04486,2019-11-19,small tree,6
NEON.PLA.D16.WREF.05753,2023-09-18,small tree,6.8
NEON.PLA.D16.WREF.07569,2019-11-27,small tree,3.4
NEON.PLA.D16.WREF.07588,2022-10-05,single bole tree,35.8
NEON.PLA.D16.WREF.04545,2021-01-28,single bole tree,58.7
NEON.PLA.D16.WREF.03211A,2019-12-04,multi-bole tree,6.3
NEON.PLA.D16.WREF.02033,2020-10-22,single bole tree,38.2
NEON.PLA.D16.WREF.04601,2022-09-21,single bole tree,68.2
NEON.PLA.D16.WREF.02223,2020-11-04,small tree,4.1
NEON.PLA.D16.WREF.04507,2024-09-16,single bole tree,68.5
NEON.PLA.D16.WREF.07984,2019-12-05,single shrub,3.8
NEON.PLA.D16.WREF.07257,2022-10-27,single bole tree,10.7
NEON.PLA.D16.WREF.08699,2022-10-19,single bole tree,15.6
NEON.PLA.D16.WREF.04540,2021-01-28,single bole tree,58
NEON.PLA.D16.WREF.07476,2019-12-05,small tree,3.4
NEON.PLA.D16.WREF.04437,2023-09-18,single bole tree,24.3
NEON.PLA.D16.WREF.04541,2021-03-23,single bole tree,19
NEON.PLA.D16.WREF.04486,2024-08-20,small tree,6.6
NEON.PLA.D16.WREF.03648,2022-09-28,small tree,2.6
NEON.PLA.D16.WREF.05749,2022-09-22,small tree,6.6
NEON.PLA.D16.WREF.03665,2020-10-21,single bole tree,20.9
NEON.PLA.D16.WREF.04730,2020-09-30,small tree,4.3
NEON.PLA.D16.WREF.02010,2020-10-22,small tree,3.6
NEON.PLA.D16.WREF.04406,2024-08-20,single bole tree,33.4
