individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.05460,2021-04-05,small tree,5.3
NEON.PLA.D16.WREF.05000,2017-10-16,small tree,3.9
NEON.PLA.D16.WREF.03408,2021-04-05,single bole tree,17
NEON.PLA.D16.WREF.05264,2017-10-30,single bole tree,55.2
NEON.PLA.D16.WREF.05231,2017-10-31,single bole tree,42.5
NEON.PLA.D16.WREF.03980,2023-10-17,small tree,8.1
NEON.PLA.D16.WREF.04005A,2021-03-01,multi-bole tree,10
NEON.PLA.D16.WREF.02482,2020-11-04,single bole tree,11
NEON.PLA.D16.WREF.04464,2017-10-26,single bole tree,40.3
NEON.PLA.D16.WREF.09129,2022-11-14,single bole tree,10.4
NEON.PLA.D16.WREF.02156,2017-10-26,single bole tree,13.9
NEON.PLA.D16.WREF.07102,2019-11-14,single bole tree,10.4
NEON.PLA.D16.WREF.04472,2017-10-26,single bole tree,19.8
NEON.PLA.D16.WREF.02354,2017-11-01,small tree,1.9
NEON.PLA.D16.WREF.04488,2023-09-18,single bole tree,16.3
NEON.PLA.D16.WREF.04631,2023-10-24,single bole tree,17.9
NEON.PLA.D16.WREF.03650,2024-09-04,single bole tree,20.4
NEON.PLA.D16.WREF.04460,2019-11-18,single bole tree,10.5
NEON.PLA.D16.WREF.03438,2019-12-03,single bole tree,17.9
NEON.PLA.D16.WREF.04458,2020-10-19,small tree,5
NEON.PLA.D16.WREF.05130,2021-03-30,small tree,4.3
NEON.PLA.D16.WREF.05761,2024-08-19,single bole tree,26.7
NEON.PLA.D16.WREF.04287,2017-10-20,small tree,5.9
NEON.PLA.D16.WREF.03636,2020-09-03,single bole tree,12.1
NEON.PLA.D16.WREF.07681,2019-11-20,single bole tree,13.6
NEON.PLA.D16.WREF.05724,2022-09-22,single bole tree,72
NEON.PLA.D16.WREF.03623,2022-09-28,single bole tree,24.3
NEON.PLA.D16.WREF.05043,2022-10-10,single bole tree,15.6
NEON.PLA.D16.WREF.05761,2020-10-07,single bole tree,26.5
NEON.PLA.D16.WREF.08608,2019-11-20,single bole tree,16.2
NEON.PLA.D16.WREF.03427,2021-10-14,single bole tree,16.5
NEON.PLA.D16.WREF.04296,2017-10-20,small tree,6.8
NEON.PLA.D16.WREF.03458,2022-09-28,single bole tree,28.3
NEON.PLA.D16.WREF.02234,2020-11-04,single bole tree,46.8
NEON.PLA.D16.WREF.04418,2020-10-19,single bole tree,41.4
NEON.PLA.D16.WREF.04445,2020-10-19,single bole tree,11
NEON.PLA.D16.WREF.03717,2024-09-04,single bole tree,16.7
NEON.PLA.D16.WREF.07487,2022-11-02,single bole tree,77
NEON.PLA.D16.WREF.04283,2017-10-20,small tree,5.5
NEON.PLA.D16.WREF.03258,2022-10-13,small tree,1.6
NEON.PLA.D16.WREF.04660,2017-10-25,single bole tree,11.6
NEON.PLA.D16.WREF.03658,2024-08-21,single bole tree,74.4
NEON.PLA.D16.WREF.05290,2021-04-05,single bole tree,11.3
