individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.05730,2019-11-18,small tree,1.1
NEON.PLA.D16.WREF.05074,2022-10-27,single bole tree,10.7
NEON.PLA.D16.WREF.09158,2022-11-14,multi-bole tree,13.6
NEON.PLA.D16.WREF.03211,2024-08-21,single bole tree,18.9
NEON.PLA.D16.WREF.04934,2022-09-21,single bole tree,120.3
NEON.PLA.D16.WREF.07298,2022-10-27,small tree,9.7
NEON.PLA.D16.WREF.05724,2019-11-18,single bole tree,74.5
NEON.PLA.D16.WREF.02158,2021-03-01,small tree,8.5
NEON.PLA.D16.WREF.05466,2021-04-05,small tree,9
NEON.PLA.D16.WREF.07997,2019-12-05,small tree,2.1
NEON.PLA.D16.WREF.08972,2021-04-05,single bole tree,36.8
NEON.PLA.D16.WREF.09138,2019-12-04,single bole tree,31.9
NEON.PLA.D16.WREF.05216,2021-04-05,single bole tree,26.6
NEON.PLA.D16.WREF.03221,2024-08-21,single bole tree,46
NEON.PLA.D16.WREF.08626,2022-11-08,small tree,6.4
NEON.PLA.D16.WREF.04697,2023-10-25,single bole tree,17
NEON.PLA.D16.WREF.05778,2020-10-07,single bole tree,40
NEON.PLA.D16.WREF.05334,2020-09-03,single bole tree,30.8
NEON.PLA.D16.WREF.05285,2021-04-05,single bole tree,22.5
NEON.PLA.D16.WREF.03668,2020-10-21,single bole tree,77.5
NEON.PLA.D16.WREF.03705,2023-10-17,single bole tree,30.9
NEON.PLA.D16.WREF.04514,2021-10-27,small tree,1.7
NEON.PLA.D16.WREF.05596,2017-10-24,small tree,2.5
NEON.PLA.D16.WREF.04470,2017-10-26,single bole tree,29.5
NEON.PLA.D16.WREF.05058,2022-10-10,single bole tree,19.1
NEON.PLA.D16.WREF.07211,2022-10-26,small tree,2.4
NEON.PLA.D16.WREF.05496,2017-10-31,small tree,5.5
NEON.PLA.D16.WREF.07564,2019-11-27,small tree,1.9
NEON.PLA.D16.WREF.05714,2020-10-19,single bole tree,30.6
NEON.PLA.D16.WREF.05771,2019-11-18,single bole tree,32.7
NEON.PLA.D16.WREF.04018,2017-10-25,single bole tree,16.7
NEON.PLA.D16.WREF.05733,2022-09-22,single bole tree,24.7
NEON.PLA.D16.WREF.08466,2022-10-19,single bole tree,65.9
NEON.PLA.D16.WREF.07521,2019-12-04,multi-bole tree,19.5
NEON.PLA.D16.WREF.04546,2017-10-17,single bole tree,16
NEON.PLA.D16.WREF.04930,2021-03-23,single bole tree,54.5
NEON.PLA.D16.WREF.03210,2023-10-04,single bole tree,97.5
NEON.PLA.D16.WREF.04698,2022-10-18,single bole tree,17.8
NEON.PLA.D16.WREF.04638,2021-10-25,single bole tree,35
NEON.PLA.D16.WREF.05849,2019-11-20,single bole tree,14.1
NEON.PLA.D16.WREF.07765,2022-10-27,small tree,4.2
NEON.PLA.D16.WREF.04418,2024-08-20,single bole tree,42.3
NEON.PLA.D16.WREF.04694,2017-10-23,small tree,3.8
NEON.PLA.D16.WREF.04767,2017-10-20,small tree,3
NEON.PLA.D16.WREF.04872,2021-04-06,small tree,1.8
NEON.PLA.D16.WREF.08900,2019-12-04,single bole tree,20.8
NEON.PLA.D16.WREF.03627,2023-10-17,single bole tree,41.7
NEON.PLA.D16.WREF.05897,2019-11-20,single bole tree,11.9
NEON.PLA.D16.WREF.03426,2020-09-03,single bole tree,46.9
NEON.PLA.D16.WREF.05718,2017-10-26,single bole tree,33.8
NEON.PLA.D16.WREF.05053,2019-11-14,single bole tree,22.4
NEON.PLA.D16.WREF.04004,2017-10-25,multi-bole tree,10
NEON.PLA.D16.WREF.03632,2023-10-17,single bole tree,22.5
NEON.PLA.D16.WREF.05766,2020-10-07,small tree,2.6
NEON.PLA.D16.WREF.03645,2024-09-04,single bole tree,70.2
NEON.PLA.D16.WREF.07243,2019-11-13,single bole tree,19.9
NEON.PLA.D16.WREF.02226,2020-11-04,multi-bole tree,16.4
NEON.PLA.D16.WREF.03711,2019-12-03,small tree,6.3
NEON.PLA.D16.WREF.09137,2022-11-14,single bole tree,13.6
NEON.PLA.D16.WREF.04646,2017-10-23,single bole tree,39.5
NEON.PLA.D16.WREF.05335,2021-10-14,single bole tree,42.6
NEON.PLA.D16.WREF.04896,2017-10-16,small tree,1.5
NEON.PLA.D16.WREF.03439,2019-12-03,single bole tree,10.5
NEON.PLA.D16.WREF.04429,2022-09-26,single bole tree,18.1
NEON.PLA.D16.WREF.04949,2023-10-30,single bole tree,85.9
NEON.PLA.D16.WREF.04181,2017-10-18,single bole tree,13.8
NEON.PLA.D16.WREF.05786,2021-03-01,single bole tree,13.5
NEON.PLA.D16.WREF.07857,2019-11-27,single bole tree,11.1
NEON.PLA.D16.WREF.02241,2021-10-21,single bole tree,64.8
NEON.PLA.D16.WREF.02239,2017-10-30,single bole tree,46.3
