individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04460,2022-09-26,single bole tree,10.4
NEON.PLA.D16.WREF.07477,2019-12-05,small tree,1.4
NEON.PLA.D16.WREF.07485,2023-05-31,small tree,2.6
NEON.PLA.D16.WREF.03701,2024-09-04,small tree,3
NEON.PLA.D16.WREF.04408,2021-10-14,single bole tree,36
NEON.PLA.D16.WREF.05773,2022-09-22,single bole tree,23.5
NEON.PLA.D16.WREF.05373,2021-04-05,single bole tree,17.4
NEON.PLA.D16.WREF.04419,2022-09-26,single bole tree,59.5
NEON.PLA.D16.WREF.08637,2022-11-08,small tree,4.1
NEON.PLA.D16.WREF.02225,2020-11-04,single bole tree,45.3
NEON.PLA.D16.WREF.05365,2021-04-05,single bole tree,12.2
NEON.PLA.D16.WREF.05261,2021-03-30,single bole tree,15
NEON.PLA.D16.WREF.07521,2023-05-16,multi-bole tree,20.3
NEON.PLA.D16.WREF.03664,2017-10-25,single bole tree,69
NEON.PLA.D16.WREF.03255,2021-10-19,small tree,1.8
NEON.PLA.D16.WREF.03442,2020-09-03,small tree,7
NEON.PLA.D16.WREF.04117,2020-10-01,small tree,3.4
NEON.PLA.D16.WREF.05773,2017-10-26,single bole tree,21.7
NEON.PLA.D16.WREF.03283,2021-11-30,single bole tree,66.5
NEON.PLA.D16.WREF.04466,2021-10-14,single bole tree,12.7
NEON.PLA.D16.WREF.02154,2017-10-26,single bole tree,24
NEON.PLA.D16.WREF.05718,2020-10-19,single bole tree,33.9
NEON.PLA.D16.WREF.05667,2019-12-04,single bole tree,10.8
NEON.PLA.D16.WREF.03228,2022-10-13,single bole tree,50.6
NEON.PLA.D16.WREF.08688,2019-11-19,single bole tree,19.1
NEON.PLA.D16.WREF.05364,2017-10-31,single bole tree,19.2
NEON.PLA.D16.WREF.02281,2017-10-31,single bole tree,12.2
NEON.PLA.D16.WREF.07535,2019-07-22,single bole tree,21.9
NEON.PLA.D16.WREF.05764,2022-09-26,small tree,6.2
NEON.PLA.D16.WREF.08619,2019-11-20,single bole tree,29.8
NEON.PLA.D16.WREF.04619,2024-09-09,single bole tree,11.7
NEON.PLA.D16.WREF.04731,2017-10-24,small tree,3.2
NEON.PLA.D16.WREF.03409,2021-04-05,single bole tree,25.1
NEON.PLA.D16.WREF.04687,2019-12-09,small tree,8
NEON.PLA.D16.WREF.04310,2020-10-29,small tree,8
NEON.PLA.D16.WREF.05045,2019-11-14,single bole tree,13.4
NEON.PLA.D16.WREF.05724,2023-09-19,single bole tree,71.2
NEON.PLA.D16.WREF.04685,2020-11-02,small tree,7.4
NEON.PLA.D16.WREF.03637,2019-12-03,single bole tree,11.3
NEON.PLA.D16.WREF.03456,2022-09-28,single bole tree,28.8
NEON.PLA.D16.WREF.07663,2022-10-24,single bole tree,18.1
NEON.PLA.D16.WREF.03706,2022-09-28,single bole tree,38.1
NEON.PLA.D16.WREF.04434,2023-09-18,single bole tree,23.1
NEON.PLA.D16.WREF.07696,2022-10-26,single shrub,1
NEON.PLA.D16.WREF.04678,2021-10-25,small tree,1.7
NEON.PLA.D16.WREF.03284,2022-10-25,single bole tree,109.1
NEON.PLA.D16.WREF.04622,2020-10-29,single bole tree,14.5
NEON.PLA.D16.WREF.07492,2019-12-05,small tree,4.2
NEON.PLA.D16.WREF.04197,2017-10-18,small tree,1.3
