individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04420,2023-09-18,single bole tree,46.6
NEON.PLA.D16.WREF.02162,2021-03-01,small tree,7.4
NEON.PLA.D16.WREF.05687,2019-12-03,single shrub,1.8
NEON.PLA.D16.WREF.02247,2017-10-30,single bole tree,53.2
NEON.PLA.D16.WREF.04539,2021-03-23,single bole tree,33.9
NEON.PLA.D16.WREF.03456,2024-09-09,single bole tree,28.8
NEON.PLA.D16.WREF.05507B,2021-03-01,multi-bole tree,12
NEON.PLA.D16.WREF.04431,2019-11-19,single bole tree,43.1
NEON.PLA.D16.WREF.03217,2023-10-04,multi-bole tree,11
NEON.PLA.D16.WREF.04620,2023-10-24,single bole tree,43.5
NEON.PLA.D16.WREF.04621,2022-10-13,single bole tree,14.8
NEON.PLA.D16.WREF.04122,2017-10-24,small tree,7.8
NEON.PLA.D16.WREF.04024,2017-10-25,small tree,1.7
NEON.PLA.D16.WREF.05745,2019-11-18,single bole tree,13.9
NEON.PLA.D16.WREF.02191,2017-10-25,single shrub,1.3
NEON.PLA.D16.WREF.04764,2017-10-20,single bole tree,10.4
NEON.PLA.D16.WREF.05508,2021-03-01,single bole tree,21.7
NEON.PLA.D16.WREF.04141,2017-10-24,multi-bole tree,18
NEON.PLA.D16.WREF.09117,2019-12-04,single bole tree,13.3
NEON.PLA.D16.WREF.05731,2021-10-14,small tree,1.5
NEON.PLA.D16.WREF.07294,2022-10-27,small tree,2
NEON.PLA.D16.WREF.04104,2017-10-24,single bole tree,79.9
NEON.PLA.D16.WREF.04467,2019-11-19,single bole tree,25.3
NEON.PLA.D16.WREF.05515,2017-10-25,single bole tree,11.8
NEON.PLA.D16.WREF.05526,2021-03-01,single bole tree,24.7
NEON.PLA.D16.WREF.03447,2024-09-04,single bole tree,81.5
NEON.PLA.D16.WREF.03426,2021-10-14,single bole tree,47
NEON.PLA.D16.WREF.03406,2017-10-31,single bole tree,21
NEON.PLA.D16.WREF.04473,2024-08-20,single bole tree,43.7
NEON.PLA.D16.WREF.05262,2022-09-21,single bole tree,61.3
NEON.PLA.D16.WREF.08953,2022-11-14,single bole tree,11.9
NEON.PLA.D16.WREF.02450,2017-10-27,single bole tree,38.2
NEON.PLA.D16.WREF.09148,2022-11-14,single bole tree,13
NEON.PLA.D16.WREF.02463,2020-12-16,single bole tree,12.6
NEON.PLA.D16.WREF.07243,2022-10-27,single bole tree,20.9
NEON.PLA.D16.WREF.04632,2020-10-29,single bole tree,55.6
NEON.PLA.D16.WREF.07708,2019-11-27,single bole tree,44.3
NEON.PLA.D16.WREF.03227,2020-10-21,single bole tree,18.7
NEON.PLA.D16.WREF.07266,2019-11-13,small tree,7.4
NEON.PLA.D16.WREF.03218,2021-10-19,single bole tree,11.4
NEON.PLA.D16.WREF.04510,2023-10-26,single bole tree,73.8
NEON.PLA.D16.WREF.05215,2021-04-05,single bole tree,30.7
NEON.PLA.D16.WREF.04422,2024-08-20,single bole tree,20.5
NEON.PLA.D16.WREF.07513,2023-05-16,single bole tree,14.7
NEON.PLA.D16.WREF.05671,2023-05-16,single bole tree,26.1
NEON.PLA.D16.WREF.04533,2020-10-28,small tree,4.8
NEON.PLA.D16.WREF.04641,2022-10-13,single bole tree,30.6
NEON.PLA.D16.WREF.08743,2019-11-14,single bole tree,15.2
NEON.PLA.D16.WREF.03657,2024-09-04,single bole tree,18.5
NEON.PLA.D16.WREF.07112,2019-11-14,single bole tree,18.8
NEON.PLA.D16.WREF.05123,2021-03-30,small tree,3.2
NEON.PLA.D16.WREF.03223,2023-10-04,single bole tree,27.5
NEON.PLA.D16.WREF.04639,2023-10-24,single bole tree,60.7
NEON.PLA.D16.WREF.04445,2024-08-20,single bole tree,10.5
NEON.PLA.D16.WREF.04098,2021-03-23,single bole tree,24.5
NEON.PLA.D16.WREF.05758,2020-10-07,single bole tree,25.9
NEON.PLA.D16.WREF.04647,2024-09-09,single bole tree,23.9
NEON.PLA.D16.WREF.04014,2021-03-01,single bole tree,14
NEON.PLA.D16.WREF.04082,2017-10-24,single bole tree,26
NEON.PLA.D16.WREF.03255,2020-10-21,small tree,1.7
NEON.PLA.D16.WREF.03417A,2020-04-05,multi-bole tree,14
NEON.PLA.D16.WREF.05887,2019-11-25,single bole tree,32.8
NEON.PLA.D16.WREF.05052,2022-10-10,single bole tree,16.3
NEON.PLA.D16.WREF.05395,2021-04-05,single bole tree,12.2
NEON.PLA.D16.WREF.04655,2020-11-02,single bole tree,34.1
NEON.PLA.D16.WREF.05255,2017-10-30,single bole tree,28.6
NEON.PLA.D16.WREF.04502,2024-09-16,single bole tree,15.9
NEON.PLA.D16.WREF.02170,2021-03-01,small tree,8
