individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.03262,2021-10-19,single bole tree,66.6
NEON.PLA.D16.WREF.04854,2017-10-16,single bole tree,69.9
NEON.PLA.D16.WREF.09999,2019-11-26,single bole tree,105.8
NEON.PLA.D16.WREF.02194,2017-10-25,small tree,9.4
NEON.PLA.D16.WREF.04668D,2022-10-13,multi-bole tree,5
NEON.PLA.D16.WREF.08604,2022-11-08,single bole tree,19.3
NEON.PLA.D16.WREF.02315,2017-10-31,single bole tree,57.7
NEON.PLA.D16.WREF.04516,2017-10-18,small tree,3.4
NEON.PLA.D16.WREF.02097,2020-10-22,multi-bole tree,16.3
NEON.PLA.D16.WREF.03631,2024-09-04,single bole tree,27.8
NEON.PLA.D16.WREF.05288,2017-10-30,single bole tree,11.7
NEON.PLA.D16.WREF.02213,2022-09-21,single bole tree,60.1
NEON.PLA.D16.WREF.05719,2017-10-26,small tree,7.4
NEON.PLA.D16.WREF.05764,2023-09-19,small tree,6
NEON.PLA.D16.WREF.03219,2024-08-21,single bole tree,24.1
NEON.PLA.D16.WREF.05047,2019-11-14,single bole tree,18.3
NEON.PLA.D16.WREF.03445,2023-10-17,single bole tree,12.4
NEON.PLA.D16.WREF.09933,2019-12-05,small tree,2.7
NEON.PLA.D16.WREF.04984,2017-10-16,single bole tree,99
NEON.PLA.D16.WREF.04484,2023-09-18,small tree,6.1
NEON.PLA.D16.WREF.05533,2017-10-25,small tree,1
NEON.PLA.D16.WREF.03259,2024-08-21,small tree,1.5
NEON.PLA.D16.WREF.03211,2023-10-04,single bole tree,19
NEON.PLA.D16.WREF.03718,2023-10-17,small tree,2.6
NEON.PLA.D16.WREF.03680,2019-12-04,single bole tree,15.8
NEON.PLA.D16.WREF.04185,2020-10-28,single bole tree,21.6
NEON.PLA.D16.WREF.02449,2017-10-27,single bole tree,17.2
NEON.PLA.D16.WREF.03217A,2023-10-04,multi-bole tree,7.2
NEON.PLA.D16.WREF.04984,2024-09-18,single bole tree,67
NEON.PLA.D16.WREF.03413,2017-10-31,single bole tree,23.1
NEON.PLA.D16.WREF.02207,2017-10-26,single bole tree,17.5
NEON.PLA.D16.WREF.09128,2019-12-04,single bole tree,13.4
NEON.PLA.D16.WREF.02287,2017-10-31,single bole tree,29.7
NEON.PLA.D16.WREF.04887,2021-04-06,small tree,4.5
NEON.PLA.D16.WREF.04730,2017-10-24,small tree,4.1
NEON.PLA.D16.WREF.04689,2022-10-13,single bole tree,12
NEON.PLA.D16.WREF.02027,2017-11-01,small tree,1.1
NEON.PLA.D16.WREF.03665,2022-10-12,single bole tree,20.7
