individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.05752,2023-09-19,small tree,6.9
NEON.PLA.D16.WREF.03262,2023-10-04,single bole tree,66.2
NEON.PLA.D16.WREF.04310,2023-10-24,small tree,6.8
NEON.PLA.D16.WREF.07246,2022-10-27,single bole tree,16.9
NEON.PLA.D16.WREF.07664,2019-11-20,single bole tree,13.7
NEON.PLA.D16.WREF.05051,2022-10-10,single bole tree,26.6
NEON.PLA.D16.WREF.07207,2019-11-25,small tree,2.1
NEON.PLA.D16.WREF.09973,2022-10-27,single bole tree,36.6
NEON.PLA.D16.WREF.05667,2023-05-16,single bole tree,10.8
NEON.PLA.D16.WREF.05775,2021-10-14,single bole tree,17.3
NEON.PLA.D16.WREF.03624,2021-10-18,single bole tree,20.4
NEON.PLA.D16.WREF.03450,2019-12-03,single bole tree,21.6
NEON.PLA.D16.WREF.03233,2020-10-21,single bole tree,26.7
NEON.PLA.D16.WREF.09157,2019-12-04,single bole tree,13.7
NEON.PLA.D16.WREF.05761,2023-09-18,single bole tree,27
NEON.PLA.D16.WREF.04415,2021-10-14,single bole tree,12.5
NEON.PLA.D16.WREF.05345,2021-04-05,single bole tree,12.8
NEON.PLA.D16.WREF.05785,2017-10-25,single bole tree,11.8
NEON.PLA.D16.WREF.03425,2020-09-03,single bole tree,13.7
NEON.PLA.D16.WREF.04873,2021-04-06,small tree,5.9
NEON.PLA.D16.WREF.05665,2023-05-16,single bole tree,21.7
NEON.PLA.D16.WREF.07513,2019-12-04,single bole tree,14.8
NEON.PLA.D16.WREF.04178,2017-10-24,single bole tree,36.2
NEON.PLA.D16.WREF.02022,2020-10-22,single bole tree,24.9
NEON.PLA.D16.WREF.04285,2017-10-20,single bole tree,45
NEON.PLA.D16.WREF.05787,2021-03-01,single bole tree,18.4
NEON.PLA.D16.WREF.04981,2017-10-16,small tree,1.7
NEON.PLA.D16.WREF.04750,2017-10-20,single bole tree,93.5
NEON.PLA.D16.WREF.07620,2019-11-25,single shrub,1.8
NEON.PLA.D16.WREF.02250,2020-11-04,single bole tree,28.5
NEON.PLA.D16.WREF.03452,2022-09-28,single bole tree,20.4
NEON.PLA.D16.WREF.04813,2017-10-18,small tree,3.5
NEON.PLA.D16.WREF.07609,2019-11-25,small tree,4.3
NEON.PLA.D16.WREF.04211,2020-09-30,small tree,1.1
NEON.PLA.D16.WREF.03264,2017-10-25,single bole tree,19.7
NEON.PLA.D16.WREF.04471,2019-11-19,single bole tree,17.9
NEON.PLA.D16.WREF.07984,2019-12-05,single shrub,4.1
NEON.PLA.D16.WREF.02107,2017-10-26,small tree,1.5
NEON.PLA.D16.WREF.04929,2021-04-01,small tree,4
NEON.PLA.D16.WREF.08783,2019-11-18,small tree,1.9
NEON.PLA.D16.WREF.07195,2019-12-05,single bole tree,10.5
NEON.PLA.D16.WREF.05242,2017-10-31,single bole tree,22
NEON.PLA.D16.WREF.03220,2022-10-13,single bole tree,48.2
NEON.PLA.D16.WREF.03219,2020-10-21,single bole tree,23
NEON.PLA.D16.WREF.05757,2020-10-07,small tree,3.9
NEON.PLA.D16.WREF.02076,2017-11-01,single bole tree,29.1
NEON.PLA.D16.WREF.04646,2021-10-25,single bole tree,39.1
NEON.PLA.D16.WREF.09765,2019-12-05,single shrub,1
NEON.PLA.D16.WREF.05213,2021-04-05,single bole tree,16
NEON.PLA.D16.WREF.04620,2022-10-13,single bole tree,43.5
NEON.PLA.D16.WREF.04435,2022-09-26,single bole tree,35.5
NEON.PLA.D16.WREF.02330,2017-10-31,small tree,2
NEON.PLA.D16.WREF.04122,2020-09-30,small tree,8.1
NEON.PLA.D16.WREF.05701,2021-10-21,single bole tree,63.5
NEON.PLA.D16.WREF.02107,2021-03-01,small tree,2.2
NEON.PLA.D16.WREF.03652,2020-09-03,single bole tree,33.1
NEON.PLA.D16.WREF.05830,2019-11-27,small tree,3
NEON.PLA.D16.WREF.04623,2021-10-25,single bole tree,15.6
NEON.PLA.D16.WREF.02213,2021-11-23,single bole tree,60.5
NEON.PLA.D16.WREF.05538,2017-10-25,small tree,7.9
NEON.PLA.D16.WREF.02436,2021-03-01,small tree,2.6
NEON.PLA.D16.WREF.04981,2021-04-06,small tree,2.1
NEON.PLA.D16.WREF.04680,2021-10-25,small tree,5.1
NEON.PLA.D16.WREF.05724,2024-08-19,single bole tree,72
NEON.PLA.D16.WREF.04702,2017-10-24,small tree,1.5
NEON.PLA.D16.WREF.02152,2017-10-26,small tree,3.8
NEON.PLA.D16.WREF.04502,2020-10-28,single bole tree,15.7
NEON.PLA.D16.WREF.05522,2021-03-01,small tree,1.3
NEON.PLA.D16.WREF.07219,2019-11-13,single bole tree,13.2
NEON.PLA.D16.WREF.04545,2022-09-21,single bole tree,59.1
NEON.PLA.D16.WREF.07686,2022-10-19,small tree,9.3
NEON.PLA.D16.WREF.04815,2021-04-01,small tree,8.7
NEON.PLA.D16.WREF.05144,2024-09-18,single bole tree,67.2
NEON.PLA.D16.WREF.05232,2017-10-31,small tree,3.2
NEON.PLA.D16.WREF.03231,2021-10-19,single bole tree,25.6
NEON.PLA.D16.WREF.03457,2023-10-17,single bole tree,39.4
NEON.PLA.D16.WREF.05063,2019-11-14,single bole tree,25.5
NEON.PLA.D16.WREF.04423,2021-10-14,single bole tree,15.3
NEON.PLA.D16.WREF.04442,2023-09-18,single bole tree,34
NEON.PLA.D16.WREF.08893,2019-12-04,small tree,5.9
NEON.PLA.D16.WREF.03295,2020-10-14,single bole tree,53
NEON.PLA.D16.WREF.02228,2017-10-30,small tree,4.5
NEON.PLA.D16.WREF.05722,2017-10-26,single bole tree,14.1
NEON.PLA.D16.WREF.07631,2019-11-25,small tree,5.7
NEON.PLA.D16.WREF.03711,2017-11-01,small tree,6.4
NEON.PLA.D16.WREF.07514,2023-05-16,single bole tree,18.9
NEON.PLA.D16.WREF.07711,2019-11-27,single bole tree,40.8
NEON.PLA.D16.WREF.03226,2020-10-21,single bole tree,42.6
NEON.PLA.D16.WREF.08750,2022-10-10,single bole tree,22.6
NEON.PLA.D16.WREF.03467,2024-09-09,single bole tree,25.3
NEON.PLA.D16.WREF.03228,2021-10-19,single bole tree,50.5
NEON.PLA.D16.WREF.07509,2019-12-04,single bole tree,33
