individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04809,2021-04-01,small tree,1.5
NEON.PLA.D16.WREF.07856,2019-11-27,single bole tree,26.4
NEON.PLA.D16.WREF.03211,2017-10-25,multi-bole tree,18
NEON.PLA.D16.WREF.07281,2019-11-13,small tree,2.2
NEON.PLA.D16.WREF.03441,2017-11-01,small tree,6.3
NEON.PLA.D16.WREF.05720,2017-10-26,single bole tree,41.8
NEON.PLA.D16.WREF.05760,2017-10-26,single bole tree,21.3
NEON.PLA.D16.WREF.03660,2023-10-04,single bole tree,22
NEON.PLA.D16.WREF.03404,2021-04-07,small tree,5.3
NEON.PLA.D16.WREF.04687B,2022-10-13,multi-bole tree,5.9
NEON.PLA.D16.WREF.04032,2021-03-01,small tree,9.3
NEON.PLA.D16.WREF.07725,2022-10-05,single bole tree,16.1
NEON.PLA.D16.WREF.03223,2017-10-25,single bole tree,26.1
NEON.PLA.D16.WREF.04461,2017-10-26,small tree,5.7
NEON.PLA.D16.WREF.04457,2017-10-26,small tree,8.8
NEON.PLA.D16.WREF.03629,2019-12-03,single bole tree,13.1
NEON.PLA.D16.WREF.03660,2020-10-21,single bole tree,19.3
NEON.PLA.D16.WREF.03207,2022-10-12,single bole tree,15.3
NEON.PLA.D16.WREF.04522,2021-10-27,small tree,8.7
NEON.PLA.D16.WREF.08892,2021-10-25,small tree,3.5
NEON.PLA.D16.WREF.04994,2017-10-16,small tree,6.8
NEON.PLA.D16.WREF.04419,2017-10-26,single bole tree,57.7
NEON.PLA.D16.WREF.05760,2020-10-07,single bole tree,21.3
NEON.PLA.D16.WREF.04006,2021-03-01,single bole tree,14
NEON.PLA.D16.WREF.04439,2021-10-14,single bole tree,27.6
NEON.PLA.D16.WREF.04103,2020-10-06,single bole tree,13.1
NEON.PLA.D16.WREF.04445,2023-09-18,single bole tree,10.6
NEON.PLA.D16.WREF.03458,2020-09-03,single bole tree,28
NEON.PLA.D16.WREF.04402,2019-11-18,single bole tree,52.6
NEON.PLA.D16.WREF.04408,2022-09-22,single bole tree,36.1
NEON.PLA.D16.WREF.04668B,2021-10-25,multi-bole tree,5.1
NEON.PLA.D16.WREF.04438,2021-10-14,single bole tree,51.7
NEON.PLA.D16.WREF.04470,2024-08-19,single bole tree,30.4
NEON.PLA.D16.WREF.04479,2020-10-20,small tree,7.7
NEON.PLA.D16.WREF.04486,2022-09-27,small tree,6.2
NEON.PLA.D16.WREF.05041,2022-10-10,single bole tree,17.5
NEON.PLA.D16.WREF.07116,2019-11-14,single bole tree,13.6
NEON.PLA.D16.WREF.05469,2017-10-31,small tree,9
NEON.PLA.D16.WREF.02228,2017-10-30,small tree,3.3
NEON.PLA.D16.WREF.04618,2019-12-09,single bole tree,13.9
NEON.PLA.D16.WREF.04619,2020-10-29,single bole tree,11.3
NEON.PLA.D16.WREF.04434,2017-10-26,single bole tree,23
NEON.PLA.D16.WREF.07604,2022-10-26,single bole tree,22.8
NEON.PLA.D16.WREF.02457,2020-12-16,single bole tree,17.8
NEON.PLA.D16.WREF.03704,2023-10-17,single bole tree,16.9
