individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.05739,2019-11-18,single bole tree,14.9
NEON.PLA.D16.WREF.04411,2020-10-19,single bole tree,56.5
NEON.PLA.D16.WREF.02003,2020-10-22,small tree,1
NEON.PLA.D16.WREF.04705,2020-09-30,small tree,9.5
NEON.PLA.D16.WREF.04441,2021-10-14,single bole tree,15.4
NEON.PLA.D16.WREF.03207,2020-10-21,single bole tree,15
NEON.PLA.D16.WREF.03432,2019-12-03,single bole tree,10.2
NEON.PLA.D16.WREF.04882,2017-10-16,small tree,9.2
NEON.PLA.D16.WREF.04842,2017-10-18,small tree,1.7
NEON.PLA.D16.WREF.03681,2019-12-04,single bole tree,20.5
NEON.PLA.D16.WREF.04986,2021-04-06,single bole tree,36.9
NEON.PLA.D16.WREF.05779,2017-10-26,small tree,1.3
NEON.PLA.D16.WREF.05757,2023-09-19,small tree,4.4
NEON.PLA.D16.WREF.03448,2021-10-18,single bole tree,19.4
NEON.PLA.D16.WREF.07654,2022-10-19,single bole tree,11.7
NEON.PLA.D16.WREF.05463,2017-10-31,single bole tree,27.2
NEON.PLA.D16.WREF.04512,2022-10-18,small tree,9.9
NEON.PLA.D16.WREF.03631,2023-10-17,single bole tree,27.2
NEON.PLA.D16.WREF.03656,2021-10-18,small tree,1.2
NEON.PLA.D16.WREF.02235,2020-11-04,single bole tree,15.8
NEON.PLA.D16.WREF.03428,2024-09-09,small tree,5
NEON.PLA.D16.WREF.04197,2020-10-28,small tree,1.7
NEON.PLA.D16.WREF.05794,2017-10-25,single bole tree,12.2
NEON.PLA.D16.WREF.03234,2017-10-25,single bole tree,16.1
NEON.PLA.D16.WREF.04687,2017-10-23,multi-bole tree,10.1
NEON.PLA.D16.WREF.04421,2021-10-14,single bole tree,11
NEON.PLA.D16.WREF.04413,2024-08-19,single bole tree,42.1
NEON.PLA.D16.WREF.07626,2019-11-25,small tree,4.5
NEON.PLA.D16.WREF.02024,2017-11-01,small tree,1.6
NEON.PLA.D16.WREF.05492,2017-10-31,small tree,3
NEON.PLA.D16.WREF.04962,2017-10-16,small tree,7.2
NEON.PLA.D16.WREF.03232,2020-10-21,single bole tree,43.5
NEON.PLA.D16.WREF.04349,2021-04-02,small tree,1.5
NEON.PLA.D16.WREF.02424,2017-10-26,single bole tree,26.6
NEON.PLA.D16.WREF.04411,2024-08-19,single bole tree,56.9
NEON.PLA.D16.WREF.03669A,2020-10-21,multi-bole tree,42.2
NEON.PLA.D16.WREF.02455,2017-10-27,single bole tree,21.3
NEON.PLA.D16.WREF.02092,2017-11-01,small tree,2.7
NEON.PLA.D16.WREF.03432,2020-09-03,single bole tree,10.2
NEON.PLA.D16.WREF.02044,2023-10-30,single bole tree,60.2
NEON.PLA.D16.WREF.07499,2019-12-05,small tree,4.8
NEON.PLA.D16.WREF.04234,2020-09-30,small tree,5
NEON.PLA.D16.WREF.03462,2024-09-09,single bole tree,34.6
NEON.PLA.D16.WREF.02228,2020-11-04,small tree,5.4
NEON.PLA.D16.WREF.04310,2021-10-25,small tree,8.1
NEON.PLA.D16.WREF.03442,2024-09-09,small tree,6.6
NEON.PLA.D16.WREF.04668E,2023-10-24,multi-bole tree,3.2
NEON.PLA.D16.WREF.07442,2024-09-09,single bole tree,36.7
NEON.PLA.D16.WREF.04982,2017-10-16,single bole tree,12.1
NEON.PLA.D16.WREF.05346,2021-04-05,single bole tree,23.8
NEON.PLA.D16.WREF.05787,2017-10-25,single bole tree,16.3
NEON.PLA.D16.WREF.05379,2021-04-05,single bole tree,41.5
NEON.PLA.D16.WREF.05758,2019-11-18,single bole tree,25.6
NEON.PLA.D16.WREF.02194,2020-11-03,small tree,8.9
NEON.PLA.D16.WREF.05330,2023-10-17,small tree,3.1
NEON.PLA.D16.WREF.08612,2019-11-20,single bole tree,11.6
NEON.PLA.D16.WREF.05228,2021-04-05,small tree,7.3
NEON.PLA.D16.WREF.05723,2017-10-26,single bole tree,21.2
NEON.PLA.D16.WREF.04254,2017-10-24,small tree,2.3
NEON.PLA.D16.WREF.02448,2017-10-27,single bole tree,35
NEON.PLA.D16.WREF.04408,2024-08-20,single bole tree,36.1
NEON.PLA.D16.WREF.05723,2022-09-22,single bole tree,21.2
NEON.PLA.D16.WREF.03215,2017-10-25,small tree,8.2
NEON.PLA.D16.WREF.05738,2022-09-22,small tree,3.1
NEON.PLA.D16.WREF.03271,2017-10-20,single bole tree,51.2
NEON.PLA.D16.WREF.08695,2022-10-19,single bole tree,10.9
NEON.PLA.D16.WREF.04445,2017-10-26,single bole tree,10.7
NEON.PLA.D16.WREF.04270,2017-10-24,small tree,2.6
NEON.PLA.D16.WREF.08704,2022-10-19,single bole tree,14.2
NEON.PLA.D16.WREF.04339,2022-10-13,small tree,6.2
NEON.PLA.D16.WREF.04424,2023-09-18,multi-bole tree,49.3
NEON.PLA.D16.WREF.03436,2017-11-01,small tree,5.7
NEON.PLA.D16.WREF.09134,2019-12-04,single bole tree,19.9
NEON.PLA.D16.WREF.03228,2019-12-04,single bole tree,50.1
NEON.PLA.D16.WREF.04423,2024-08-20,single bole tree,15.6
NEON.PLA.D16.WREF.02361,2017-11-01,small tree,9.9
NEON.PLA.D16.WREF.04813,2017-10-18,small tree,8.4
NEON.PLA.D16.WREF.09191,2019-12-03,single bole tree,18.5
NEON.PLA.D16.WREF.04643,2021-10-25,single bole tree,83.4
NEON.PLA.D16.WREF.04167,2021-04-06,small tree,2.6
NEON.PLA.D16.WREF.03234,2023-10-04,single bole tree,16.8
NEON.PLA.D16.WREF.04404,2021-10-14,single bole tree,14.2
NEON.PLA.D16.WREF.07239,2019-11-13,single bole tree,12.4
