individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04257,2020-10-06,single bole tree,16
NEON.PLA.D16.WREF.04733,2020-09-30,small tree,6.1
NEON.PLA.D16.WREF.04436,2017-10-26,single bole tree,17.1
NEON.PLA.D16.WREF.02159,2021-03-01,single bole tree,12.9
NEON.PLA.D16.WREF.05734,2023-09-18,small tree,3.8
NEON.PLA.D16.WREF.05490,2017-10-31,small tree,5.8
NEON.PLA.D16.WREF.02334,2021-04-05,single bole tree,15.3
NEON.PLA.D16.WREF.05343,2021-04-05,single bole tree,21
NEON.PLA.D16.WREF.05721,2023-09-19,small tree,5.2
NEON.PLA.D16.WREF.03283,2017-10-20,single bole tree,64.8
NEON.PLA.D16.WREF.03216,2021-10-19,single bole tree,43.2
NEON.PLA.D16.WREF.05734,2021-10-14,small tree,3.6
NEON.PLA.D16.WREF.08871,2022-09-28,small tree,1.4
NEON.PLA.D16.WREF.05736,2024-08-20,small tree,4.4
NEON.PLA.D16.WREF.05798,2017-10-25,multi-bole tree,14.2
NEON.PLA.D16.WREF.02478,2017-10-27,small tree,2.2
NEON.PLA.D16.WREF.04676,2020-11-03,small tree,6.8
NEON.PLA.D16.WREF.05235,2017-10-31,small tree,4.2
NEON.PLA.D16.WREF.05273,2021-03-30,small tree,5
NEON.PLA.D16.WREF.09128,2022-11-14,single bole tree,13.2
NEON.PLA.D16.WREF.04478,2019-11-19,small tree,3.1
NEON.PLA.D16.WREF.05776,2017-10-26,small tree,9.4
NEON.PLA.D16.WREF.03444,2021-10-18,single bole tree,20.6
NEON.PLA.D16.WREF.04624,2022-10-13,single bole tree,13.7
NEON.PLA.D16.WREF.03221,2021-10-19,single bole tree,45.6
NEON.PLA.D16.WREF.04411,2021-10-14,single bole tree,56.1
NEON.PLA.D16.WREF.04756,2017-10-20,small tree,4.7
NEON.PLA.D16.WREF.07765,2019-11-12,small tree,3.8
NEON.PLA.D16.WREF.09183,2022-10-27,small tree,4
NEON.PLA.D16.WREF.07832,2019-12-02,single bole tree,43.1
NEON.PLA.D16.WREF.04413,2017-10-26,single bole tree,40.7
NEON.PLA.D16.WREF.04708,2020-09-30,small tree,1.5
NEON.PLA.D16.WREF.03227,2017-10-25,single bole tree,18.4
NEON.PLA.D16.WREF.02403,2017-10-26,small tree,3.9
NEON.PLA.D16.WREF.04687,2021-10-25,small tree,9.8
NEON.PLA.D16.WREF.05864,2019-11-25,single bole tree,39.5
NEON.PLA.D16.WREF.04374,2021-04-02,small tree,7.4
NEON.PLA.D16.WREF.04427,2021-10-14,single bole tree,22.4
NEON.PLA.D16.WREF.07258A,2022-10-27,multi-bole tree,6
NEON.PLA.D16.WREF.02349,2021-04-05,single bole tree,32.1
NEON.PLA.D16.WREF.04180,2017-10-24,single bole tree,36.8
NEON.PLA.D16.WREF.07601,2019-11-25,single bole tree,10.3
NEON.PLA.D16.WREF.03226,2019-12-04,single bole tree,42.8
NEON.PLA.D16.WREF.05536,2021-03-01,small tree,1.1
NEON.PLA.D16.WREF.04424A,2019-11-19,multi-bole tree,27.5
NEON.PLA.D16.WREF.05501,2017-10-25,single bole tree,12.9
NEON.PLA.D16.WREF.03445,2022-09-28,single bole tree,12.4
NEON.PLA.D16.WREF.04715,2020-09-30,small tree,2.5
NEON.PLA.D16.WREF.08751,2019-11-14,single bole tree,10.4
NEON.PLA.D16.WREF.04505,2019-12-05,single bole tree,45.8
NEON.PLA.D16.WREF.04424A,2022-09-26,multi-bole tree,22.1
NEON.PLA.D16.WREF.03457,2021-10-18,single bole tree,39.7
NEON.PLA.D16.WREF.04367,2017-10-20,single shrub,1.4
NEON.PLA.D16.WREF.04463,2021-10-14,single bole tree,10
NEON.PLA.D16.WREF.04427,2022-09-26,single bole tree,22.6
NEON.PLA.D16.WREF.04886,2021-04-06,small tree,3
NEON.PLA.D16.WREF.09779,2019-12-05,single shrub,1.4
NEON.PLA.D16.WREF.04637A,2023-10-24,multi-bole tree,14.8
