individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.09778,2019-12-05,small tree,7.5
NEON.PLA.D16.WREF.05718,2019-11-18,single bole tree,33.9
NEON.PLA.D16.WREF.04988,2021-04-06,single bole tree,15.1
NEON.PLA.D16.WREF.07702,2019-11-27,single bole tree,43.4
NEON.PLA.D16.WREF.04550,2017-10-17,single bole tree,50
NEON.PLA.D16.WREF.03294,2024-09-24,single bole tree,80
NEON.PLA.D16.WREF.04747,2021-04-02,single bole tree,111.5
NEON.PLA.D16.WREF.04533,2021-10-27,small tree,4.9
NEON.PLA.D16.WREF.05326,2017-10-23,small tree,2.9
NEON.PLA.D16.WREF.05206,2021-04-05,single bole tree,27.6
NEON.PLA.D16.WREF.05335,2023-10-17,single bole tree,43.8
NEON.PLA.D16.WREF.02052,2020-10-22,single bole tree,20.8
NEON.PLA.D16.WREF.08723,2019-11-18,small tree,4
NEON.PLA.D16.WREF.07764,2019-11-12,small tree,1.4
NEON.PLA.D16.WREF.04476,2020-10-19,small tree,5.7
NEON.PLA.D16.WREF.04133,2020-09-30,single bole tree,36
NEON.PLA.D16.WREF.04545,2021-10-21,single bole tree,59.1
NEON.PLA.D16.WREF.04108,2020-10-01,small tree,6
NEON.PLA.D16.WREF.04135,2020-09-30,small tree,2.8
NEON.PLA.D16.WREF.02174,2021-03-01,single bole tree,11.2
NEON.PLA.D16.WREF.04655,2024-09-09,single bole tree,34.1
NEON.PLA.D16.WREF.05536,2017-10-25,small tree,1
NEON.PLA.D16.WREF.05070,2022-10-04,small tree,2.5
NEON.PLA.D16.WREF.04182,2021-10-27,single bole tree,10.1
NEON.PLA.D16.WREF.02123,2020-11-03,small tree,1.2
NEON.PLA.D16.WREF.05238,2017-10-31,small tree,5.1
NEON.PLA.D16.WREF.02478,2017-10-27,small tree,2.1
NEON.PLA.D16.WREF.05792,2017-10-25,single bole tree,16.9
NEON.PLA.D16.WREF.03223,2019-12-04,single bole tree,27
NEON.PLA.D16.WREF.09138,2022-11-14,single bole tree,32
NEON.PLA.D16.WREF.03711,2023-10-17,small tree,6.5
NEON.PLA.D16.WREF.04186,2024-09-16,single bole tree,38.8
NEON.PLA.D16.WREF.04183,2023-10-25,single bole tree,47
NEON.PLA.D16.WREF.04753,2024-09-24,single bole tree,86.9
NEON.PLA.D16.WREF.04521,2022-10-18,small tree,1.1
NEON.PLA.D16.WREF.05848,2019-11-20,single bole tree,17.9
NEON.PLA.D16.WREF.03630,2023-10-17,single bole tree,25.8
NEON.PLA.D16.WREF.03669A,2023-10-04,multi-bole tree,42.9
NEON.PLA.D16.WREF.02210,2021-03-01,single bole tree,23.9
NEON.PLA.D16.WREF.02178,2024-09-17,single bole tree,78.9
NEON.PLA.D16.WREF.03445,2021-10-18,single bole tree,12.2
NEON.PLA.D16.WREF.04307,2021-10-25,single bole tree,99.8
NEON.PLA.D16.WREF.05858,2022-10-19,single bole tree,67.2
NEON.PLA.D16.WREF.04436,2020-10-20,single bole tree,16.9
NEON.PLA.D16.WREF.05280,2021-03-30,small tree,2.2
NEON.PLA.D16.WREF.05379,2017-10-31,single bole tree,43.3
NEON.PLA.D16.WREF.02283,2017-10-31,single bole tree,47.1
NEON.PLA.D16.WREF.05715,2023-09-18,single bole tree,16.5
NEON.PLA.D16.WREF.05394,2017-10-31,single bole tree,17.3
NEON.PLA.D16.WREF.08744,2019-11-14,single bole tree,21.4
NEON.PLA.D16.WREF.03466,2021-10-18,single bole tree,32.6
NEON.PLA.D16.WREF.08673,2022-11-08,small tree,9.5
