individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.03430,2019-12-03,single bole tree,34.6
NEON.PLA.D16.WREF.04676,2020-11-03,small tree,8.7
NEON.PLA.D16.WREF.03672,2022-10-12,single bole tree,18.5
NEON.PLA.D16.WREF.05448,2017-10-31,small tree,3
NEON.PLA.D16.WREF.04515,2019-12-05,small tree,8.7
NEON.PLA.D16.WREF.07679,2019-11-20,single bole tree,16.1
NEON.PLA.D16.WREF.05064,2019-11-14,single bole tree,15.6
NEON.PLA.D16.WREF.03634,2022-09-28,single bole tree,12.4
NEON.PLA.D16.WREF.05331,2024-09-09,single bole tree,40.6
NEON.PLA.D16.WREF.04639,2020-11-02,single bole tree,61.3
NEON.PLA.D16.WREF.04475,2023-09-19,single bole tree,14.5
NEON.PLA.D16.WREF.09182,2019-12-03,small tree,2.9
NEON.PLA.D16.WREF.05733,2017-10-26,single bole tree,23.2
NEON.PLA.D16.WREF.04513,2022-10-18,small tree,5.4
NEON.PLA.D16.WREF.07771,2019-11-12,small tree,2
NEON.PLA.D16.WREF.02367,2020-10-22,single bole tree,20.7
NEON.PLA.D16.WREF.02442,2017-10-26,small tree,9.9
NEON.PLA.D16.WREF.05585,2020-09-30,small tree,5.9
NEON.PLA.D16.WREF.09149,2019-12-04,multi-bole tree,19.8
NEON.PLA.D16.WREF.05349,2017-10-31,single bole tree,26.2
NEON.PLA.D16.WREF.04134,2017-10-24,small tree,1.5
NEON.PLA.D16.WREF.04259,2017-10-24,small tree,6.3
NEON.PLA.D16.WREF.03442,2023-10-17,small tree,8.1
NEON.PLA.D16.WREF.02178,2020-11-03,single bole tree,78.3
NEON.PLA.D16.WREF.05720,2020-10-07,single bole tree,42.3
NEON.PLA.D16.WREF.04533,2024-09-16,small tree,5.6
NEON.PLA.D16.WREF.04442,2017-10-26,single bole tree,33
NEON.PLA.D16.WREF.05764,2022-09-26,small tree,6.2
NEON.PLA.D16.WREF.04409,2019-11-18,single bole tree,38.5
NEON.PLA.D16.WREF.04485,2024-08-19,single bole tree,10
NEON.PLA.D16.WREF.05276,2021-03-30,small tree,1.5
NEON.PLA.D16.WREF.05821,2019-11-27,small tree,9.2
NEON.PLA.D16.WREF.03675,2020-10-21,single bole tree,20.4
NEON.PLA.D16.WREF.04522,2019-12-05,small tree,8.4
NEON.PLA.D16.WREF.02139,2023-10-30,single bole tree,136.5
NEON.PLA.D16.WREF.04233,2020-09-30,small tree,2.1
NEON.PLA.D16.WREF.03417,2017-10-31,multi-bole tree,13
NEON.PLA.D16.WREF.04104,2021-11-03,single bole tree,80.6
NEON.PLA.D16.WREF.07669,2019-11-20,single bole tree,79.2
NEON.PLA.D16.WREF.02420,2021-03-01,single bole tree,16
NEON.PLA.D16.WREF.05752,2020-10-19,small tree,6.8
NEON.PLA.D16.WREF.08682,2019-11-19,single bole tree,28.4
NEON.PLA.D16.WREF.05483,2017-10-31,single bole tree,13.3
NEON.PLA.D16.WREF.07459,2020-10-14,single bole tree,10.3
NEON.PLA.D16.WREF.05736,2020-10-19,small tree,4.5
NEON.PLA.D16.WREF.04310,2021-10-25,small tree,4
NEON.PLA.D16.WREF.04184,2023-10-25,single bole tree,89.5
NEON.PLA.D16.WREF.02002,2017-11-01,single bole tree,29.9
NEON.PLA.D16.WREF.04808,2021-04-01,single bole tree,43.2
NEON.PLA.D16.WREF.05583,2020-09-30,small tree,1.6
NEON.PLA.D16.WREF.03704,2020-09-03,single bole tree,16.5
NEON.PLA.D16.WREF.03208,2023-10-04,single bole tree,10.9
NEON.PLA.D16.WREF.04247,2020-09-30,small tree,2.1
NEON.PLA.D16.WREF.07623,2022-10-26,small tree,2.9
NEON.PLA.D16.WREF.05779,2019-11-18,small tree,1
NEON.PLA.D16.WREF.04440,2017-10-26,single bole tree,14.3
NEON.PLA.D16.WREF.07682,2019-11-20,single bole tree,85.6
NEON.PLA.D16.WREF.03720,2021-10-18,single bole tree,15
NEON.PLA.D16.WREF.08732,2019-11-14,single bole tree,10.3
NEON.PLA.D16.WREF.04687,2024-09-09,small tree,5.9
NEON.PLA.D16.WREF.05744,2023-09-19,single bole tree,25.9
NEON.PLA.D16.WREF.04424,2019-11-19,multi-bole tree,48.4
NEON.PLA.D16.WREF.05855,2022-10-19,single bole tree,23.9
NEON.PLA.D16.WREF.09983,2019-11-26,single bole tree,86.4
NEON.PLA.D16.WREF.05729,2020-10-07,single bole tree,15.6
NEON.PLA.D16.WREF.04690,2017-10-23,small tree,5.1
NEON.PLA.D16.WREF.03450,2023-10-17,single bole tree,21.7
NEON.PLA.D16.WREF.04491,2017-10-25,single bole tree,14.8
NEON.PLA.D16.WREF.05729,2023-09-18,single bole tree,15.7
NEON.PLA.D16.WREF.09799,2019-12-05,small tree,1
NEON.PLA.D16.WREF.08297,2024-09-09,single bole tree,12.6
NEON.PLA.D16.WREF.04407,2024-08-20,single bole tree,18.6
NEON.PLA.D16.WREF.05773,2024-08-20,single bole tree,24.2
NEON.PLA.D16.WREF.03441,2017-11-01,small tree,6.2
NEON.PLA.D16.WREF.04514,2017-10-18,small tree,1
NEON.PLA.D16.WREF.03465,2022-09-28,single bole tree,10.6
NEON.PLA.D16.WREF.03454,2017-11-01,single bole tree,11.6
NEON.PLA.D16.WREF.05293,2021-04-05,single bole tree,25.6
NEON.PLA.D16.WREF.03632,2017-11-01,single bole tree,20.7
NEON.PLA.D16.WREF.04984,2023-10-30,single bole tree,66.9
NEON.PLA.D16.WREF.05503,2021-03-01,single bole tree,18.5
NEON.PLA.D16.WREF.04233,2017-10-24,small tree,2.1
NEON.PLA.D16.WREF.07576,2019-11-27,single shrub,1.5
NEON.PLA.D16.WREF.04425,2019-11-19,single bole tree,25.5
NEON.PLA.D16.WREF.04278,2017-10-24,small tree,3.6
NEON.PLA.D16.WREF.03668,2022-10-12,single bole tree,77.2
NEON.PLA.D16.WREF.04944,2021-04-06,single bole tree,11.3
NEON.PLA.D16.WREF.09160,2019-12-04,small tree,6.2
NEON.PLA.D16.WREF.02418,2017-10-26,single bole tree,25.3
NEON.PLA.D16.WREF.05708,2017-10-30,small tree,1.4
NEON.PLA.D16.WREF.02312,2017-10-31,single shrub,1.9
NEON.PLA.D16.WREF.04492,2017-10-25,single bole tree,10.5
NEON.PLA.D16.WREF.07763,2022-10-27,small tree,3.5
NEON.PLA.D16.WREF.03659,2017-10-25,single bole tree,16.9
NEON.PLA.D16.WREF.05712,2021-04-05,small tree,1.1
NEON.PLA.D16.WREF.07297,2022-10-27,small tree,6.6
NEON.PLA.D16.WREF.05719,2022-09-26,small tree,7.8
NEON.PLA.D16.WREF.05511,2017-10-25,single bole tree,24.9
NEON.PLA.D16.WREF.04503,2024-09-16,single bole tree,96.9
NEON.PLA.D16.WREF.02206,2021-03-01,single bole tree,43.9
