individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.08298,2023-10-24,single bole tree,11.8
NEON.PLA.D16.WREF.04621,2023-10-24,single bole tree,15.2
NEON.PLA.D16.WREF.09565,2022-10-18,single bole tree,10.4
NEON.PLA.D16.WREF.04310,2019-12-09,small tree,8.4
NEON.PLA.D16.WREF.02288,2017-10-31,small tree,1.7
NEON.PLA.D16.WREF.03680,2022-10-12,single bole tree,15.9
NEON.PLA.D16.WREF.07519,2019-12-04,single bole tree,36.1
NEON.PLA.D16.WREF.03227,2024-08-21,single bole tree,19
NEON.PLA.D16.WREF.07889,2024-08-19,small tree,1.3
NEON.PLA.D16.WREF.07782,2019-11-12,small tree,2.4
NEON.PLA.D16.WREF.05349,2021-04-05,single bole tree,27.2
NEON.PLA.D16.WREF.03423,2021-10-14,single bole tree,15
NEON.PLA.D16.WREF.02036,2017-11-01,single bole tree,49.5
NEON.PLA.D16.WREF.07782,2022-10-27,small tree,2.8
NEON.PLA.D16.WREF.04183,2024-09-16,single bole tree,46.9
NEON.PLA.D16.WREF.03662,2019-12-04,single bole tree,28.1
NEON.PLA.D16.WREF.04513,2019-12-05,small tree,7.5
NEON.PLA.D16.WREF.04302,2017-10-26,small tree,4
NEON.PLA.D16.WREF.04516,2024-09-16,small tree,3.6
NEON.PLA.D16.WREF.02312,2021-04-05,single shrub,1.1
NEON.PLA.D16.WREF.09136,2019-12-04,single bole tree,14.6
NEON.PLA.D16.WREF.05590,2020-09-30,small tree,3.6
NEON.PLA.D16.WREF.02111B,2020-11-03,multi-bole tree,4.5
NEON.PLA.D16.WREF.03224,2020-10-21,single bole tree,29.2
NEON.PLA.D16.WREF.02411,2017-10-26,small tree,2.9
NEON.PLA.D16.WREF.04421,2019-11-19,single bole tree,11
NEON.PLA.D16.WREF.04436,2019-11-18,single bole tree,17.1
NEON.PLA.D16.WREF.04753,2021-01-25,single bole tree,86.8
NEON.PLA.D16.WREF.09997,2019-12-02,single bole tree,78.2
NEON.PLA.D16.WREF.04436,2022-09-26,single bole tree,16.9
NEON.PLA.D16.WREF.03459,2020-09-03,single bole tree,29.2
NEON.PLA.D16.WREF.05774,2022-09-22,single bole tree,57
NEON.PLA.D16.WREF.04503,2020-10-28,single bole tree,98.9
NEON.PLA.D16.WREF.04746,2017-10-20,single bole tree,18.4
NEON.PLA.D16.WREF.02044,2022-09-21,single bole tree,60
NEON.PLA.D16.WREF.03704,2022-09-28,single bole tree,16.6
NEON.PLA.D16.WREF.08632,2019-11-20,small tree,1.1
NEON.PLA.D16.WREF.03461,2024-09-09,single bole tree,27.1
NEON.PLA.D16.WREF.02021,2020-10-22,single bole tree,45.8
NEON.PLA.D16.WREF.05218,2021-04-05,small tree,2.1
NEON.PLA.D16.WREF.02067,2020-10-22,small tree,1.3
NEON.PLA.D16.WREF.04655,2022-10-13,single bole tree,34
NEON.PLA.D16.WREF.02336,2021-04-05,single bole tree,30.8
NEON.PLA.D16.WREF.04109,2017-10-24,small tree,1.4
NEON.PLA.D16.WREF.04467,2020-10-20,single bole tree,25.2
NEON.PLA.D16.WREF.04425,2021-10-14,single bole tree,25.9
NEON.PLA.D16.WREF.04617,2021-10-25,single bole tree,55.3
NEON.PLA.D16.WREF.04645,2017-10-23,single bole tree,21.1
NEON.PLA.D16.WREF.02427,2021-03-01,single bole tree,11.5
NEON.PLA.D16.WREF.05396,2021-04-05,single bole tree,22.2
NEON.PLA.D16.WREF.04933,2017-10-18,single bole tree,71.5
NEON.PLA.D16.WREF.09980,2019-11-25,single bole tree,44.8
NEON.PLA.D16.WREF.02341,2017-10-31,single bole tree,24.1
NEON.PLA.D16.WREF.05757,2022-09-22,small tree,3.9
NEON.PLA.D16.WREF.05771,2024-08-20,single bole tree,34.1
NEON.PLA.D16.WREF.04429,2017-10-26,single bole tree,18.2
NEON.PLA.D16.WREF.04943,2021-04-06,single bole tree,11.1
NEON.PLA.D16.WREF.04173,2021-04-06,small tree,2
NEON.PLA.D16.WREF.09163,2022-11-14,small tree,8.1
NEON.PLA.D16.WREF.04438,2023-09-18,single bole tree,52.4
NEON.PLA.D16.WREF.04712,2017-10-24,single shrub,1.1
NEON.PLA.D16.WREF.05389,2017-10-31,single bole tree,39.3
NEON.PLA.D16.WREF.07103,2019-11-18,single bole tree,17.2
NEON.PLA.D16.WREF.05381,2017-10-31,single bole tree,14.9
NEON.PLA.D16.WREF.02143,2017-10-26,single bole tree,12.7
NEON.PLA.D16.WREF.09130,2022-11-14,single bole tree,11.6
NEON.PLA.D16.WREF.05495,2017-10-31,small tree,9.6
NEON.PLA.D16.WREF.04427,2023-09-19,single bole tree,23
NEON.PLA.D16.WREF.02151,2017-10-26,small tree,8.2
NEON.PLA.D16.WREF.05736,2023-09-18,small tree,4.5
NEON.PLA.D16.WREF.07672,2019-11-20,single bole tree,10.9
NEON.PLA.D16.WREF.04806,2021-01-20,single bole tree,87.4
